aa	ɑ ɑ
cyrillic	s ɪ ɹ ɪ l ɪ k
cytarabine	s a ɪ t æ ɹ ə b i n
cytisine	s ɪ t ə s i n
cytologist	s a ɪ t ɑ l ə d͡ʒ ɪ s t
cytology	s a ɪ t ɑ l ə d͡ʒ i
cytolytic	s a ɪ t ə l ɪ t ɪ k
cytonuclear	s a ɪ t o n u k l i ɚ
cytophosphane	s a ɪ t o ʊ f ɔ s f e ɪ n
cytoplasm	s a ɪ t o ʊ p l æ z ə m
cytosine	s a ɪ t ə s i n
cytosis	s a ɪ t o ʊ s ɪ s
cywyddau	k ə w ʌ ð a ɪ
czech	t͡ʃ ɛ k
czechia	t͡ʃ ɛ k i ə
czexit	t͡ʃ ɛ k s ɪ t
czochralski	t͡ʃ o ʊ k ɹ ɑ l s k i
dab	d æ b
dabbed	d æ b d
dabbing	d æ b ɪ ŋ
dabbings	d æ b ɪ ŋ z
dabs	d æ b z
daces	d e ɪ s ɪ z
dacia	d e ɪ ʃ ə
dacian	d e ɪ ʃ ə n
dack	d æ k
dacoit	d ə k ɔ ɪ t
dacryocystorhinostomy	d æ k r i o ʊ s ɪ s t o ʊ r a ɪ n ɑ s t ə m i
dactylic	d æ k t ɪ l ɪ k
dactylology	d æ k t ə l ɑ l ə d͡ʒ i
daddy	d æ d i
dade	d e ɪ d
dadless	d æ d l ə s
dado	d e ɪ d o ʊ
dadra	d ɑ d ɹ ɑ
dads	d æ d z
daedalian	d ɪ d e ɪ l i ə n
daesh	d ɑ ɛ ʃ
daffodil	d æ f ə d ɪ l
daft	d æ f t
daftness	d æ f t n ə s
dafuq	d ə f ʌ k
dag	d æ ɡ
dagenham	d æ ɡ ə n ə m
dagnabbit	d æ ɡ n æ b ɪ t
dah	d ɑ
dai	d a ɪ
daigou	d a ɪ ɡ o ʊ
daikon	d a ɪ k ɔ n
daily	d e ɪ l i
daimyo	d a ɪ m j o ʊ
daines	d e ɪ n z
dainty	d e ɪ n t i
dais	d e ɪ ɪ s
daisies	d e ɪ z i z
daisy	d e ɪ z i
dajjal	d a d͡ʒ ɑ l
dale	d e ɪ l
dalek	d ɑ l ɛ k
daleks	d ɑ l ɛ k s
dales	d e ɪ l z
daley	d e ɪ l i
dalfopristin	d æ l f o ʊ p ɹ ɪ s t ɪ n
dalhousie	d æ l h a ʊ z i
dalliance	d æ l i ə n s
dally	d æ l i
dalmatia	d æ l m e ɪ ʃ ə
dalmatian	d æ l m e ɪ ʃ ə n
dalry	d æ l ɹ a ɪ
dalrymple	d æ l ɹ ɪ m p ə l
dam	d æ m
damage	d æ m ɪ d͡ʒ
damaged	d æ m ɪ d͡ʒ d
damages	d æ m ɪ d͡ʒ ɪ z
damaging	d æ m ɪ d͡ʒ ɪ ŋ
daman	d ə m ɑ n
damascene	d æ m ə s i n
damaskin	d æ m ə s k ɪ n
damehood	d e ɪ m h ʊ d
dames	d e ɪ m z
daming	d e ɪ m ɪ ŋ
dammed	d æ m d
damming	d æ m ɪ ŋ
damn	d æ m
damnable	d æ m n ə b ə l
damned	d æ m d
damnify	d æ m n ɪ f a ɪ
damning	d æ m ɪ ŋ
damnings	d æ m ɪ ŋ z
damnit	d æ m ɪ t
damns	d æ m z
damp	d æ m p
dampen	d æ m p ə n
damper	d æ m p ɚ
damply	d æ m p l i
dampy	d æ m p i
dams	d æ m z
damsel	d æ m z ə l
damsels	d æ m z ə l z
dan	d æ n
danae	d æ n e ɪ i
danazol	d æ n ə z ɔ l
danbo	d æ n b o ʊ
danced	d æ n s t
dances	d æ n s ɪ z
dandle	d æ n d ə l
dandy	d æ n d i
danes	d e ɪ n z
dangerouser	d e ɪ n d͡ʒ ə ɹ ə s ə ɹ
dangle	d æ ŋ ɡ ə l
danicize	d e ɪ n ɪ s a ɪ z
daniel	d æ n j ə l
daniela	d æ n j ɛ l ə
daniels	d æ n j ə l z
danish	d e ɪ n ɪ ʃ
dank	d æ ŋ k
danny	d æ n i
danso	d ɑ n s o ʊ
danson	d æ n s ə n
dante	d ɑ n t e ɪ
dantrolene	d æ n t ɹ ə l i n
dap	d æ p
dapagliflozin	d æ p ə ɡ l ə f l o ʊ z ɪ n
daphne	d æ f n i
dapsone	d æ p s o ʊ n
daqing	d ɑ t͡ʃ ɪ ŋ
dard	d ɑ ɹ d
dardic	d ɑ ɹ d ɪ k
daresay	d ɛ ɹ s e ɪ
dargah	d ʊ ə ɡ ɑ
dari	d ɑ r i
darifenacin	d æ ɹ ə f ɛ n ə s ɪ n
darjeeling	d ɑ ɹ d͡ʒ i l ɪ ŋ
dark	d ɑ ɹ k
darken	d ɑ ɹ k ə n
darkened	d ɑ ɹ k ə n d
darker	d ɑ ɹ k ɚ
darkle	d ɑ ɹ k ə l
darkly	d ɑ ɹ k l i
darkness	d ɑ ɹ k n ɪ s
darling	d ɑ ɹ l ɪ ŋ
darn	d ɑ ɹ n
darth	d ɑ ɹ θ
dartle	d ɑ ɹ t ə l
daruma	d ɑ ɹ ʊ m ə
darvel	d ɑ ɹ v ə l
darwin	d ɑ ɹ w i n
das	d æ s
dasheen	d æ ʃ i n
dastard	d æ s t ɚ d
dastardly	d æ s t ɚ d l i
dasyphyllous	d æ s ɪ f ɪ l ə s
dat	d æ t
date	d e ɪ t
dated	d e ɪ t ɪ d
dateless	d e ɪ t l ɪ s
dater	d e ɪ t ə ɹ
dates	d e ɪ t s
dating	d e ɪ t ɪ ŋ
daubery	d ɔ b ə ɹ i
daughters	d ɔ t ɚ z
daunorubicin	d ɔ n ə ɹ u b ɪ s n̩
daunt	d ɔ n t
daunting	d ɔ n t ɪ ŋ
dauntless	d ɔ n t l ə s
davao	d ɑ v a ʊ
dave	d e ɪ v
david	d e ɪ v ɪ d
davis	d e ɪ v ɪ s
davos	d ɑ v o ʊ s
dawdle	d ɔ d ə l
dawes	d ɔ z
dawk	d ɔ k
dawkes	d ɔ k s
dawkin	d ɔ k ɪ n
dawkins	d ɔ k ɪ n z
dawley	d ɔ l i
dawn	d ɔ n
dawned	d ɔ n
dawson	d ɔ s ə n
day	d e ɪ
daybeam	d e ɪ b i m
daybed	d e ɪ b ɛ d
daybook	d e ɪ b ʊ k
dayboy	d e ɪ b ɔ ɪ
daydream	d e ɪ d ɹ i m
daydreamer	d e ɪ d ɹ i m ɚ
dayed	d e ɪ d
dayes	d e ɪ z
daying	d e ɪ ɪ ŋ
daylight	d e ɪ l a ɪ t
daylights	d e ɪ l a ɪ t s
days	d e ɪ z
daysack	d e ɪ s æ k
daysman	d e ɪ z m ə n
dayson	d e ɪ s ə n
daystar	d e ɪ s t ɑ ɹ
daytime	d e ɪ t a ɪ m
dayton	d e ɪ t ə n
daywork	d e ɪ w ɝ k
dazedly	d e ɪ z ə d l i
dazibao	d ɑ d z ə b a ʊ
dazy	d e ɪ z i
dazzle	d æ z ə l
dd	d i d i
ddos	d i d ɔ s
ddr	d i d i ɑ ɹ
deacon	d i k ə n
dead	d ɛ d
deadfall	d ɛ d f ɑ l
deadhead	d ɛ d h ɛ d
deadline	d ɛ d l a ɪ n
deadlock	d ɛ d l ɑ k
deadly	d ɛ d l i
deadmin	d i æ d m ɪ n
deadness	d ɛ d n ə s
deadpan	d ɛ d p æ n
deaf	d ɛ f
deafblindness	d ɛ f b l a ɪ n d n ɪ s
deafen	d ɛ f ə n
deafs	d ɛ f s
deal	d i l
dealignment	d i j ə l a ɪ n m ə n t
dealing	d i l ɪ ŋ
deals	d i l z
dealt	d ɛ l t
dean	d i n
deaned	d i n d
deaning	d i n ɪ ŋ
deans	d i n z
dear	d ɪ ɹ
dearest	d ɪ ɹ ɪ s t
dearheart	d ɪ ɹ h ɑ ɹ t
dearly	d ɪ ɹ l i
dearness	d ɪ ə ɹ n ə s
dearth	d ɝ θ
deathmatch	d ɛ θ m æ t͡ʃ
deaths	d ɛ θ s
deb	d ɛ b
debacchate	d ɪ b æ k e ɪ t
debark	d i b ɑ ɹ k
debasement	d ɪ b e ɪ s m ə n t
debauch	d ɪ b ɔ t͡ʃ
debbie	d ɛ b i
debel	d ə b ɛ l
debonair	d ɛ b ə n ɛ ɹ
debride	d i b ɹ i d
debridement	d e ɪ b ɹ i d m ɑ̃
debrief	d i b ɹ i f
debriefing	d i b ɹ i f ɪ ŋ
debris	d ə b ɹ i
debt	d ɛ t
debts	d ɛ t s
debuccalize	d i b ʌ k ə l a ɪ z
debug	d i b ʌ ɡ
debugging	d i b ʌ ɡ ɪ ŋ
debulked	d i b ʌ l k t
debunks	d ɪ b ʌ ŋ k s
debye	d ə b a ɪ
decadent	d ɛ k ə d ə n t
decadently	d ɛ k ə d ə n t l i
decagon	d ɛ k ə ɡ ɑ n
decamethonium	d ɛ k ə m ə θ o ʊ n i ə m
decangle	d ɛ k æ ŋ ɡ ə l
decani	d ɪ k e ɪ n a ɪ
decant	d ə k æ n t
decarcerate	d i k ɑ ɹ s ə ɹ e ɪ t
decarceration	d i k ɑ ɹ s ə ɹ e ɪ ʃ ə n
dece	d i s
deceased	d i s i s t
decede	d ɪ s i d
decedent	d ɪ s i d ə n t
deceit	d ɪ s i t
deceivable	d ɪ s i v ə b l̩
deceiver	d ɪ s i v ɚ
deceivingly	d ɪ s i v ɪ ŋ l i
deceleration	d ɪ s ɛ l ə ɹ e ɪ ʃ ə n
december	d ɪ s ɛ m b ə ɹ
decemvir	d ɪ s ɛ m v ə ɹ
deceptible	d ɪ s ɛ p t ɪ b l̩
deceptive	d ɪ s ɛ p t ɪ v
decern	d ɪ s ɝ n
decillion	d ə s ɪ l i ə n
decim	d ɛ s ɪ m
decimal	d ɛ s ɪ m ə l
decimate	d ɛ s ə m e ɪ t
decimation	d ɛ s ɪ m e ɪ ʃ ə n
decime	d ɛ s i m
decitabine	d ɪ s a ɪ t ə b i n
deck	d ɛ k
decked	d ɛ k t
decking	d ɛ k ɪ ŋ
decks	d ɛ k s
declan	d ɛ k l ə n
declaration	d ɛ k l ə ɹ e ɪ ʃ ə n
declared	d ɪ k l ɛ ɹ d
declaring	d ɪ k l ɛ ɹ ɪ ŋ
declension	d ɪ k l ɛ n ʃ ə n
decline	d ɪ k l a ɪ n
declined	d ɪ k l a ɪ n d
declining	d ɪ k l a ɪ n ɪ ŋ
declivitous	d ɪ k l ɪ v ɪ t ə s
decock	d i k ɔ k
decoct	d ə k ɑ k t
decoction	d ɪ k ɔ k ʃ ə n
decompose	d i k ə m p o ʊ z
decomposite	d i k ɔ m p ə z ɪ t
deconcatenate	d i k ə n k æ t ə n e ɪ t
decor	d ɪ k ɔ ɹ
decorate	d ɛ k ə ɹ e ɪ t
decorated	d ɛ k ə ɹ e ɪ t ɪ d
decoration	d ɛ k ə ɹ e ɪ ʃ ə n
decorations	d ɛ k ə ɹ e ɪ ʃ ə n z
decorporation	d i k ɔ ɹ p ə ɹ e ɪ ʃ ə n
decrepit	d ɪ k ɹ ɛ p ɪ t
decrepitate	d ɪ k ɹ ɛ p ɪ t e ɪ t
decrepitly	d ɪ k ɹ ɛ p ɪ t l i
decrepitness	d ɪ k ɹ ɛ p ɪ t n ə s
decrepitude	d ə k ɹ ɛ p ɪ t u d
decrescendo	d i k ɹ ɛ ʃ ɛ n d o ʊ
decrescent	d ɪ k ɹ ɛ s ə n t
decretory	d ɪ k ɹ i t ə ɹ i
decrial	d ɪ k ɹ a ɪ ə l
decrime	d i k ɹ a ɪ m
decriminalization	d i k ɹ ɪ m ɪ n ə l a ɪ z e ɪ ʃ ə n
decuman	d ɛ k j ʊ m ə n
decumbiture	d ɪ k ʌ m b ɪ t͡ʃ ɚ
decussate	d ɪ k ʌ s e ɪ t
decussation	d ɛ k ʌ s e ɪ ʃ ə n
dedication	d ɛ d ɪ k e ɪ ʃ ə n
dedicatory	d ɛ d ə k ə t ɔ ɹ i
dedovshchina	dʲ ɪ d ɐ f ɕː i n ə
deduce	d ɪ d u s
deduction	d ɪ d ʌ k ʃ ə n
dedupe	d i d u p
dee	d i
deed	d i d
deeds	d i d z
deedwork	d i d w ɝ k
deem	d i m
deemed	d i m d
deeming	d i m ɪ ŋ
deems	d i m z
deep	d i p
deepen	d i p ə n
deeper	d i p ɚ
deepest	d i p ɪ s t
deeply	d i p l i
deer	d ɪ ɹ
dees	d i z
deets	d i t s
defacement	d ɪ f e ɪ s m ə n t
defamation	d ɛ f ə m e ɪ ʃ ə n
defamatory	d ɪ f æ m ə t ɔ ɹ i
defcon	d ɛ f k ɑ n
defeat	d ɪ f i t
defectible	d ɪ f ɛ k t ɪ b ə l
defendant	d ɪ f ɛ n d ə n t
defended	d ɪ f ɛ n d ɪ d
defending	d ə f ɛ n d ɪ ŋ
defenestrate	d ə f ɛ n ɪ s t ɹ e ɪ t
defenestration	d i f ɛ n ə s t ɹ e ɪ ʃ ə n
defervesce	d i f ɚ v ɛ s
defervescency	d i f ə ɹ v ɛ s ə n s i
defiant	d ɪ f a ɪ ə n t
defiatory	d ə f a ɪ ə t ɔ ɹ i
defile	d ɪ f a ɪ l
define	d ɪ f a ɪ n
defined	d ɪ f a ɪ n d
definition	d ɛ f ɪ n ɪ ʃ ə n
definitude	d ɪ f ɪ n ɪ t j u d
deflationary	d ə f l e ɪ ʃ ə n ə ɹ i
deflection	d ə f l ɛ k ʃ ə n
deflocculate	d ə f l ɑ k j u l e ɪ t
deformity	d ɪ f ɔ ɹ m ə t i
defragment	d i f ɹ æ ɡ m ɛ n t
defragmentation	d i f ɹ æ ɡ m ə n t e ɪ ʃ ə n
deft	d ɛ f t
deftly	d ɛ f t l i
degen	d e ɪ ɡ ə n
deglaciation	d i ɡ l e ɪ ʃ i e ɪ ʃ ə n
deglove	d i ɡ l ʌ v
degloving	d i ɡ l ʌ v ɪ ŋ
deglutition	d i ɡ l u t ɪ ʃ ə n
degree	d ɪ ɡ ɹ i
degrees	d ɪ ɡ ɹ i z
degression	d ɪ ɡ ɹ ɛ ʃ ə n
degringolade	d e ɪ ɡ ɹ æ ŋ ɡ o ʊ l ɑ d
dehisce	d ɪ h ɪ s
dehiscence	d ɪ h ɪ s ə n s
dehort	d ɪ h ɔ t
dehydrate	d i h a ɪ d ɹ e ɪ t
dehydrated	d ə h a ɪ d ɹ e ɪ t ə d
dehydration	d i h a ɪ d ɹ e ɪ ʃ ə n
dehydroemetine	d ɪ h a ɪ d ɹ o ʊ ɛ m ə t i n
dehydroisoandrosterone	d i h a ɪ d ɹ o ʊ a ɪ s o ʊ æ n d ɹ ɔ s t ə ɹ o ʊ n
dehymenization	d i h a ɪ m ə n a ɪ z e ɪ ʃ ə n
deianira	d i ə n a ɪ ɹ ə
deice	d i a ɪ s
deicer	d i a ɪ s ɚ
deictic	d a ɪ k t ɪ k
deidamia	d e ɪ d ə m a ɪ ə
deign	d e ɪ n
deimos	d a ɪ m ə s
deirdre	d ɪ ɹ d ɹ ə
deistically	d e ɪ ɪ s t ɪ k l i
deists	d e ɪ ĭ s t s
dejection	d ə d͡ʒ ɛ k ʃ ə n
dejeration	d ɛ d͡ʒ ə ɹ e ɪ ʃ ə n
deke	d i k
dekko	d e k o ʊ
dekopon	d ɛ k o ʊ p ɔ n
del	d ɛ l
delam	d i l æ m
delano	d ɛ l ə n o ʊ
delavirdine	d ɛ l ə v ɪ ɹ d i n
delay	d ɪ l e ɪ
delayed	d ə l e ɪ d
delead	d i l ɛ d
delegitimation	d i l ɪ d͡ʒ ɪ t ɪ m e ɪ ʃ ə n
deleon	d ə l i ɑ n
deleterious	d ɛ l ə t ɪ ɹ i ə s
deletery	d ə l i t ə ɹ i
deletion	d ɪ l i ʃ ə n
deliberation	d ɪ l ɪ b ə ɹ e ɪ ʃ ə n
delicately	d ɛ l ɪ k ə t l i
delicatessen	d ɛ l ɪ k ə t ɛ s ə n
delictuous	d ə l ɪ k t͡ʃ u ə s
delimit	d ɪ l ɪ m ɪ t
delineation	d i l ɪ n i e ɪ ʃ ə n
deliquate	d ɛ l ɪ k w e ɪ t
delirate	d ɛ l ɪ ɹ e ɪ t
delitescence	d ɛ l ɪ t ɛ s ə n s
dell	d ɛ l
dells	d ɛ l z
delomorphic	d ɛ l ə m ɔ ɹ f ɪ k
delt	d ɛ l t
delts	d ɛ l t s
deluded	d ɪ l u d ɪ d
deluxe	d ə l ʌ k s
delvings	d ɛ l v ɪ ŋ z
dem	d ɛ m
dematerialize	d i m ə t ɪ ɹ i ə l a ɪ z
deme	d i m
demeanor	d ɪ m i n ɚ
demeclocycline	d ɛ m ə k l o ʊ s a ɪ k l i n
demented	d ɪ m ɛ n t ɪ d
dementia	d ɪ m ɛ n ʃ ə
demerit	d ɪ m ɛ r ɪ t
demerse	d ɪ m ɜ ɹ s
demigod	d ɛ m ɪ ɡ ɑ d
demilitarize	d ɪ m ɪ l ɪ t ə ɹ a ɪ z
demise	d ɪ m a ɪ z
demisexual	d ɛ m i s ɛ k ʃ u ə l
demisexuality	d ɛ m i s ɛ k ʃ u æ l i t i
demission	d ə m ɪ ʃ ə n
demiurgic	d ɛ m i ɝ d͡ʒ ɪ k
demob	d i m ɑ b
democracy	d ɪ m ɑ k ɹ ə s i
democrat	d ɛ m ə k ɹ æ t
democratically	d ɛ m ə k ɹ æ t ɪ k ə l i
demon	d i m ə n
demonagogue	d ə m ɔ n ə ɡ ɔ ɡ
demonianism	d ɪ m o ʊ n i ə n ɪ z ə m
demonstratable	d ɛ m ə n s t ɹ e ɪ t ə b l
demonstrate	d ɛ m ə n s t ɹ e ɪ t
demonstrated	d ɛ m ə n s t ɹ e ɪ t ɪ d
demosthenes	d ɪ m ɔ s θ ə n i z
demote	d ɪ m o ʊ t
demotic	d ɪ m ɑ t ɪ k
demotivate	d i m o ʊ t ɪ v e ɪ t
dems	d ɛ m z
demur	d ɪ m ɝ
demure	d ɪ m j ʊ ɹ
demurral	d ɪ m ɝ ə l
demurrer	d ɪ m ə ɹ ə ɹ
denali	d i n ɑ l i
denholm	d ɛ n ə m
denial	d ɪ n a ɪ ə l
denied	d ɪ n a ɪ d
denier	d ɪ n a ɪ ə ɹ
denisovan	d i n i s ə v ə n
denize	d ɪ n a ɪ z
denmark	d ɛ n m ɑ ɹ k
denominations	d ɛ n ɔ m ɪ n e ɪ ʃ ə n z
denotate	d ɛ n o ʊ t e ɪ t
denotation	d i n o ʊ t e ɪ ʃ ə n
denote	d ɪ n o ʊ t
denotes	d ɪ n o ʊ t s
denouement	d e ɪ n u m ɑ̃
denounced	d ɪ n a ʊ n s t
dense	d ɛ n s
densely	d ɛ n s l i
density	d ɛ n s ə t i
dent	d ɛ n t
dental	d ɛ n t l̩
dentilled	d ɛ n t ɪ l d
dentinoid	d ɛ n t ɪ n ɔ ɪ d
dentiparous	d ɛ n t ɪ p ə ɹ ə s
dentiroster	d ɛ n t ə ɹ ɑ s t ə ɹ
dentistry	d ɛ n t ɪ s t ɹ i
dentition	d ɛ n t ɪ ʃ ə n
dents	d ɛ n t s
dentulated	d ɛ n t j ə l a t ə d
denunciator	d ɪ n ʌ n s i e ɪ t ə ɹ
deny	d ɪ n a ɪ
deodar	d i o ʊ d ɑ
deontic	d i ɔ n t ɪ k
deoxycorticosterone	d i ɑ k s ɪ k ɔ ɹ t ɪ k ɑ s t ə ɹ o ʊ n
depart	d ɪ p ɑ ɹ t
departed	d ɪ p ɑ ɹ t ɪ d
department	d ə p ɑ ɹ t m ə n t
depend	d ɪ p ɛ n d
depended	d ɪ p ɛ n d ɪ d
dependent	d ɪ p ɛ n d ə n t
depends	d ɪ p ɛ n d z
deperm	d i p ɝ m
dephasing	d i f e ɪ z ɪ ŋ
dephlogisticate	d i f l ɑ d͡ʒ ɪ s t ɪ k e ɪ t
depict	d ɪ p ɪ k t
depilation	d ɛ p ɪ l e ɪ ʃ ə n
deplatform	d i p l æ t f ɔ ɹ m
depletion	d ɪ p l i ʃ ə n
deplore	d ɪ p l ɔ ɹ
deploy	d ɪ p l ɔ ɪ
deployment	d ɪ p l ɔ ɪ m ə n t
deplumation	d i p l u m e ɪ ʃ ə n
depolarize	d i p o ʊ l ə ɹ a ɪ z
depoliticize	d i p ə l ɪ t ɪ s a ɪ z
depolymerase	d i p ɔ l ɪ m ə ɹ e ɪ z
depolymerization	d i p ɑ l i m ə ɹ ɪ z e ɪ ʃ ə n
depolymerize	d i p ɔ l ɪ m ə ɹ a ɪ z
deponent	d i p o ʊ n ə n t
deposit	d i p ɑ z ɪ t
depositary	d ɪ p ɑ z ɪ t ɛ ɹ i
deposited	d ɪ p ɑ z ɪ t ɪ d
deposition	d ɛ p ə z ɪ ʃ ə n
depository	d ɪ p ɑ z ɪ t ɔ ɹ i
deposits	d ɪ p ɑ z ɪ t s
deprecation	d ɛ p ɹ ɪ k e ɪ ʃ ə n
deprehend	d ɛ p ɹ ə h ɛ n d
deprenyl	d ɛ p ɹ ə n ɪ l
depress	d ɪ p ɹ ɛ s
depressant	d ɪ p ɹ ɛ s ə n t
depressed	d ɪ p ɹ ɛ s t
depressing	d ɪ p ɹ ɛ s ɪ ŋ
depressive	d ɪ p ɹ ɛ s ɪ v
depriment	d ɛ p ɹ ɪ m ə n t
deprive	d ɪ p ɹ a ɪ v
deprived	d ɪ p ɹ a ɪ v d
depth	d ɛ p θ
depths	d ɛ p θ s
depuration	d ɛ p j ʊ ɹ e ɪ ʃ ə n
deputation	d ɛ p j u t e ɪ ʃ ə n
deputize	d ɛ p j u t a ɪ z
deque	d ɛ k
dequeue	d i k j u
der	d ɜ
deradicalize	d ɪ ɹ æ d ɪ k ə l a ɪ z
derange	d ɪ ɹ e ɪ n d͡ʒ
deray	d ɪ ɹ e ɪ
derby	d ɝ b i
derecho	d ə ɹ e ɪ t͡ʃ o ʊ
deregulatory	d ɪ ɹ ɛ ɡ j u l ə t ɔ ɹ i
dereham	d ɪ ə ɹ ə m
derelict	d ɛ ɹ ə l ɪ k t
dereliction	d ɛ ɹ ɪ l ɪ k ʃ ə n
derf	d ɝ f
derg	d ɜ ɹ ɡ
derham	d ɜ ɹ ə m
deride	d ɪ ɹ a ɪ d
derisible	d ə ɹ ɪ z ɪ b ə l
derivatization	d ə ɹ ɪ v ə t ə z e ɪ ʃ ə n
derive	d ə ɹ a ɪ v
dermatologist	d ɝ m ə t ɑ l ə d͡ʒ ɪ s t
dermatoplastic	d ɝ m æ t ə p l æ s t ɪ k
dermic	d ɜ ɹ m ɪ k
dermis	d ɝ m ɪ s
dermot	d ɝ m ə t
dern	d ɜ ɹ n
dernful	d ɜ ɹ n f ə l
dernier	d ɚ n j e ɪ
derogation	d ɛ ɹ ə ɡ e ɪ ʃ ə n
derogatory	d ɪ ɹ ɑ ɡ ə t ɔ ɹ i
derring	d ɛ ɹ ɪ ŋ
dervish	d ɜ ɹ v ɪ ʃ
derwent	d ɜ ɹ w ə n t
descanso	d ɛ s k ɑ n s o ʊ
descend	d ɪ s ɛ n d
descendant	d ɪ s ɛ n d ə n t
descendants	d ɪ s ɛ n d ə n t s
descended	d ɪ s ɛ n d ɪ d
descending	d ɪ s ɛ n d ɪ ŋ
describes	d ə s k ɹ a ɪ b z
descry	d ɪ s k ɹ a ɪ
dese	d i z
desecration	d ɛ s i k ɹ e j ʃ n̩
desegregation	d i s ɛ ɡ ɹ ə ɡ e ɪ̯ ʃ ə n
deselect	d i s ə l ɛ k t
deseret	d ɛ z ə ɹ ɛ t
desertology	d ɛ z ə ɹ t ɔ l ə d͡ʒ i
deserve	d ɪ z ɝ v
deserved	d ɪ z ɝ v d
deserving	d ɪ z ɝ v ɪ ŋ
deshler	d ɛ ʃ l ə ɹ
desiccation	d ɛ s ɪ k e ɪ ʃ ə n
desiderate	d ɪ s ɪ d ə ɹ e ɪ t
desideratum	d ə s ɪ d ə ɹ ɑ t ə m
designation	d ɛ z ɪ ɡ n e ɪ ʃ ə n
designer	d ɪ z a ɪ n ɚ
desinence	d ɛ s ə n ə n s
desipience	d ɪ s ɪ p ɪ ə n s
desipramine	d ə z ɪ p ɹ ə m i n
desired	d ɪ z a ɪ ɹ d
desires	d ɪ z a ɪ ɹ z
desiring	d ɪ z a ɪ ə ɹ ɪ ŋ
deskfast	d e s k f ə s t
desktop	d ɛ s k t ɔ p
desktops	d ɛ s k t ɔ p s
desmid	d ɛ z m ɪ d
desmology	d ə z m ɑ l o ʊ d͡ʒ i
desmond	d ɛ z m ə n d
desogestrel	d ɛ s ə d͡ʒ ɛ s t ɹ ə l
desoxycorticosterone	d ɛ z ɑ k s ɪ k ɔ ɹ t ɪ k ɑ s t ə ɹ o ʊ n
desoxycortone	d ɛ z ɑ k s ɪ k ɔ ɹ t o ʊ n
despair	d ɪ s p ɛ ɹ
despairer	d ɪ s p ɛ ɹ ɚ
despairing	d ɪ s p ɛ ɹ ɪ ŋ
despairingly	d ɪ s p ɛ ɹ ɪ ŋ l i
despard	d ɛ s p ɑ ɹ d
despatch	d ɪ s p æ t͡ʃ
despatched	d ɪ s p æ t͡ʃ t
despoil	d ɪ s p ɔ ɪ l
despond	d ɪ s p ɔ n d
despot	d ɛ s p ə t
despotic	d ɛ s p ɑ t ɪ k
despotism	d ɛ s p ə t ɪ z ə m
despume	d ɪ s p j u m
dessiatina	d ɛ s j ə t i n ə
destin	d ɛ s t ɪ n
destinal	d ɛ s t ɪ n ə l
destination	d ɛ s t ɪ n e ɪ ʃ ə n
destine	d ɛ s t ɪ n
destitution	d ɛ s t ɪ t u ʃ ə n
destitutions	d ɛ s t ɪ t u ʃ ə n z
destroy	d ɪ s t ɹ ɔ ɪ
destroyed	d ɪ s t ɹ ɔ ɪ d
destroying	d ɪ s t ɹ ɔ ɪ j ɪ ŋ
desuetude	d ə s u ə t u d
desvenlafaxine	d ɛ s v ɛ n l ə f æ k s i n
desyatin	d ɛ s j ə t i n
desysop	d i s ɪ s ɔ p
detach	d ɪ t æ t͡ʃ
detached	d ɪ t æ t͡ʃ t
detachment	d ɪ t æ t͡ʃ m ə n t
detained	d i t e j n d
detection	d ə t ɛ k ʃ ə n
detective	d ɪ t ɛ k t ɪ v
deter	d ɪ t ɜ ɹ
deterioration	d ɪ t ɪ ɹ i ɔ ɹ e ɪ ʃ ə n
deterritorialization	d i t ɛ ɹ ɪ t ɔ ɹ i ə l a ɪ z e ɪ ʃ ə n
dethick	d ɛ θ ɪ k
detonate	d ɛ t ə n e ɪ t
detox	d i t ɔ k s
detraction	d ɪ t ɹ æ k ʃ ə n
detractory	d ɪ t ɹ æ k t ə ɹ i
detrect	d ɪ t ɹ ɛ k t
detrending	d i t ɹ ɛ n d ɪ ŋ
detrimental	d ɛ t ɹ ɪ m ɛ n t ə l
detrital	d i t ɹ a ɪ t ə l
detritivore	d ə t ɹ a ɪ t ə v ɔ ɹ
detritivorous	d ɛ t ɹ ə t ɪ v ə ɹ ə s
detritus	d ɪ t ɹ a ɪ t ə s
deturb	d ɪ t ɜ ɹ b
deturpate	d ɛ t ə ɹ p e ɪ t
deuce	d u s
deuterium	d j u t ɪ ɹ i ə m
deutoxide	d j u t ɔ k s a ɪ d
deutoxides	d j u t ɔ k s a ɪ d z
deutsch	d ɔ ɪ t͡ʃ
dev	d ɛ v
deva	d e ɪ v ə
devalue	d i v æ l j u
devanagari	d e ɪ v ə n ɑ ɡ ə ɹ i
devastate	d ɛ v ə s t e ɪ t
devastavit	d i v ə s t e ɪ v ɪ t
develop	d ɪ v ɛ l ə p
developed	d ɪ v ɛ l ə p t
developer	d ɪ v ɛ l ə p ɚ
developers	d ɪ v ɛ l ə p ɚ z
developing	d ɪ v ɛ l ə p ɪ ŋ
development	d ɪ v ɛ l ə p m ə n t
developmentals	d ɪ v ɛ l ə p m ɛ n t ə l z
developmentation	d i v ɛ l ə p m ə n t e ɪ ʃ ə n
devi	d e ɪ v i
deviance	d i v ɪ ə n s
deviation	d i v i e ɪ ʃ ə n
deviator	d i v i e ɪ t ɚ
