ააგო	ɑ ɑ ɡ ɔ
განათლებას	ɡ ɑ n ɑ tʰ l ɛ b ɑ s
განათლების	ɡ ɑ n ɑ tʰ l ɛ b i s
განაჩენი	ɡ ɑ n ɑ t͡ʃ ɛ n i
განაცხადა	ɡ ɑ n ɑ t͡s x ɑ d ɑ
განაწილება	ɡ ɑ n ɑ t͡sʼ i l ɛ b ɑ
განახლებადი	ɡ ɑ n ɑ x l ɛ b ɑ d i
განგაში	ɡ ɑ n ɡ ɑ ʃ i
განგსტერი	ɡ ɑ n ɡ s tʼ ɛ r i
განებივრებული	ɡ ɑ n ɛ b i v r ɛ b u l i
განვითარებამ	ɡ ɑ n v i tʰ ɑ r ɛ b ɑ m
განვითარებას	ɡ ɑ n v i tʰ ɑ r ɛ b ɑ s
განვითარების	ɡ ɑ n v i tʰ ɑ r ɛ b i s
განზე	ɡ ɑ n z ɛ
განზრახ	ɡ ɑ n z r ɑ x
განთიადი	ɡ ɑ n tʰ i ɑ d i
განიერი	ɡ ɑ n i ɛ r i
განივი	ɡ ɑ n i v i
განიხილავს	ɡ ɑ n i x i l ɑ v s
განმარტება	ɡ ɑ n m ɑ r tʼ ɛ b ɑ
განმარტებითი	ɡ ɑ n m ɑ r tʼ ɛ b i tʰ i
განმეორებითი	ɡ ɑ n m ɛ ɔ r ɛ b i tʰ i
განრიგები	ɡ ɑ n r i ɡ ɛ b i
განრიგი	ɡ ɑ n r i ɡ i
განსაზღვრა	ɡ ɑ n s ɑ z ɣ v r ɑ
განსაზღვრავს	ɡ ɑ n s ɑ z ɣ v r ɑ v s
განსაკუთრებით	ɡ ɑ n s ɑ kʼ u tʰ r ɛ b i tʰ
განსაკუთრებულად	ɡ ɑ n s ɑ kʼ u tʰ r ɛ b u l ɑ d
განსაკუთრებული	ɡ ɑ n s ɑ kʼ u tʰ r ɛ b u l i
განსახლება	ɡ ɑ n s ɑ x l ɛ b ɑ
განსხვავება	ɡ ɑ n s x v ɑ v ɛ b ɑ
განსხვავებით	ɡ ɑ n s x v ɑ v ɛ b i tʰ
განსხვავებულად	ɡ ɑ n s x v ɑ v ɛ b u l ɑ d
განუზომლად	ɡ ɑ n u z ɔ m l ɑ d
განურჩევლად	ɡ ɑ n u r t͡ʃ ɛ v l ɑ d
განუსაზღვრელად	ɡ ɑ n u s ɑ z ɣ v r ɛ l ɑ d
განუხორციელებელი	ɡ ɑ n u x ɔ r t͡s i ɛ l ɛ b ɛ l i
განხილვა	ɡ ɑ n x i l v ɑ
განხორციელება	ɡ ɑ n x ɔ r t͡s i ɛ l ɛ b ɑ
გარანტი	ɡ ɑ r ɑ n tʼ i
გარანტია	ɡ ɑ r ɑ n tʼ i ɑ
გარგარი	ɡ ɑ r ɡ ɑ r i
გარდა	ɡ ɑ r d ɑ
გარდამავალი	ɡ ɑ r d ɑ m ɑ v ɑ l i
გარდაუვალად	ɡ ɑ r d ɑ u v ɑ l ɑ d
გარდაუვალი	ɡ ɑ r d ɑ u v ɑ l i
გარდაუვალობა	ɡ ɑ r d ɑ u v ɑ l ɔ b ɑ
გარდაუვლად	ɡ ɑ r d ɑ u v l ɑ d
გარდაქმნა	ɡ ɑ r d ɑ kʰ m n ɑ
გარდაცვალებით	ɡ ɑ r d ɑ t͡s v ɑ l ɛ b i tʰ
გარდაცვლილი	ɡ ɑ r d ɑ t͡s v l i l i
გარდერობი	ɡ ɑ r d ɛ r ɔ b i
გარე	ɡ ɑ r ɛ
გარეგანი	ɡ ɑ r ɛ ɡ ɑ n i
გარეგნულად	ɡ ɑ r ɛ ɡ n u l ɑ d
გარეგნული	ɡ ɑ r ɛ ɡ n u l i
გარედან	ɡ ɑ r ɛ d ɑ n
გარეთ	ɡ ɑ r ɛ tʰ
გარემო	ɡ ɑ r ɛ m ɔ
გარემოება	ɡ ɑ r ɛ m ɔ ɛ b ɑ
გარეუბანი	ɡ ɑ r ɛ u b ɑ n i
გარეშე	ɡ ɑ r ɛ ʃ ɛ
გარკვევით	ɡ ɑ r kʼ v ɛ v i tʰ
გარკვეული	ɡ ɑ r kʼ v ɛ u l i
გარნიზონი	ɡ ɑ r n i z ɔ n i
გარნირი	ɡ ɑ r n i r i
გარსი	ɡ ɑ r s i
გარყვნილება	ɡ ɑ r qʼ v n i l ɛ b ɑ
გარშემო	ɡ ɑ r ʃ ɛ m ɔ
გასაგებად	ɡ ɑ s ɑ ɡ ɛ b ɑ d
გასაგები	ɡ ɑ s ɑ ɡ ɛ b i
გასავლიანი	ɡ ɑ s ɑ v l i ɑ n i
გასამრჯელო	ɡ ɑ s ɑ m r d͡ʒ ɛ l ɔ
გასაოცრად	ɡ ɑ s ɑ ɔ t͡s r ɑ d
გასართობად	ɡ ɑ s ɑ r tʰ ɔ b ɑ d
გასასვლელი	ɡ ɑ s ɑ s v l ɛ l i
გასაღები	ɡ ɑ s ɑ ɣ ɛ b i
გასაჭირი	ɡ ɑ s ɑ t͡ʃʼ i r i
გასვლა	ɡ ɑ s v l ɑ
გასინჯვა	ɡ ɑ s i n d͡ʒ v ɑ
გასტრიტი	ɡ ɑ s tʼ r i tʼ i
გასულიერება	ɡ ɑ s u l i ɛ r ɛ b ɑ
გასწვრივ	ɡ ɑ s t͡sʼ v r i v
გასწორება	ɡ ɑ s t͡sʼ ɔ r ɛ b ɑ
გატეხვა	ɡ ɑ tʼ ɛ x v ɑ
გაუბედაობა	ɡ ɑ u b ɛ d ɑ ɔ b ɑ
გაუგებრად	ɡ ɑ u ɡ ɛ b r ɑ d
გაუგებრობა	ɡ ɑ u ɡ ɛ b r ɔ b ɑ
გაუპატიურება	ɡ ɑ u pʼ ɑ tʼ i u r ɛ b ɑ
გაურკვევლად	ɡ ɑ u r kʼ v ɛ v l ɑ d
გაუსაძლისი	ɡ ɑ u s ɑ d͡z l i s i
გაუფრთხილებლად	ɡ ɑ u pʰ r tʰ x i l ɛ b l ɑ d
გაუქმება	ɡ ɑ u kʰ m ɛ b ɑ
გაუშვებს	ɡ ɑ u ʃ v ɛ b s
გაუჩინარება	ɡ ɑ u t͡ʃ i n ɑ r ɛ b ɑ
გაფატრავს	ɡ ɑ pʰ ɑ tʼ r ɑ v s
გაფიცვა	ɡ ɑ pʰ i t͡s v ɑ
გაფორმების	ɡ ɑ pʰ ɔ r m ɛ b i s
გაფრენა	ɡ ɑ pʰ r ɛ n ɑ
გაფუჭება	ɡ ɑ pʰ u t͡ʃʼ ɛ b ɑ
გაფუჭებული	ɡ ɑ pʰ u t͡ʃʼ ɛ b u l i
გაქ	ɡ ɑ kʰ
გაქვთ	ɡ ɑ kʰ v tʰ
გაქვს	ɡ ɑ kʰ v s
გაქრობა	ɡ ɑ kʰ r ɔ b ɑ
გაქცევა	ɡ ɑ kʰ t͡s ɛ v ɑ
გაყალბება	ɡ ɑ qʼ ɑ l b ɛ b ɑ
გაყიდვა	ɡ ɑ qʼ i d v ɑ
გაშეშებული	ɡ ɑ ʃ ɛ ʃ ɛ b u l i
გაშვება	ɡ ɑ ʃ v ɛ b ɑ
გაშორდა	ɡ ɑ ʃ ɔ r d ɑ
გაშუქება	ɡ ɑ ʃ u kʰ ɛ b ɑ
გაჩეჩილი	ɡ ɑ t͡ʃ ɛ t͡ʃ i l i
გაჩუმება	ɡ ɑ t͡ʃ u m ɛ b ɑ
გაცემა	ɡ ɑ t͡s ɛ m ɑ
გაცვეთილი	ɡ ɑ t͡s v ɛ tʰ i l i
გაცვლა	ɡ ɑ t͡s v l ɑ
გაცილება	ɡ ɑ t͡s i l ɛ b ɑ
გაცილებით	ɡ ɑ t͡s i l ɛ b i tʰ
გაძლევთ	ɡ ɑ d͡z l ɛ v tʰ
გაწვრთნის	ɡ ɑ t͡sʼ v r tʰ n i s
გაჭყლეტილი	ɡ ɑ t͡ʃʼ qʼ l ɛ tʼ i l i
გახევებულად	ɡ ɑ x ɛ v ɛ b u l ɑ d
გახლდათ	ɡ ɑ x l d ɑ tʰ
გახნის	ɡ ɑ x n i s
გახსნა	ɡ ɑ x s n ɑ
გედი	ɡ ɛ d i
გეთაყვა	ɡ ɛ tʰ ɑ qʼ v ɑ
გეი	ɡ ɛ i
გელა	ɡ ɛ l ɑ
გელაშვილი	ɡ ɛ l ɑ ʃ v i l i
გემბანი	ɡ ɛ m b ɑ n i
გემზე	ɡ ɛ m z ɛ
გემი	ɡ ɛ m i
გემო	ɡ ɛ m ɔ
გემოვნებით	ɡ ɛ m ɔ v n ɛ b i tʰ
გემრიელად	ɡ ɛ m r i ɛ l ɑ d
გემრიელი	ɡ ɛ m r i ɛ l i
გენაცვალე	ɡ ɛ n ɑ t͡s v ɑ l ɛ
გენეალოგია	ɡ ɛ n ɛ ɑ l ɔ ɡ i ɑ
გენერალი	ɡ ɛ n ɛ r ɑ l i
გენერატორი	ɡ ɛ n ɛ r ɑ tʼ ɔ r i
გენეტიკა	ɡ ɛ n ɛ tʼ i kʼ ɑ
გენეტიკური	ɡ ɛ n ɛ tʼ i kʼ u r i
გენი	ɡ ɛ n i
გეოგრაფი	ɡ ɛ ɔ ɡ r ɑ pʰ i
გეოგრაფია	ɡ ɛ ɔ ɡ r ɑ pʰ i ɑ
გეოგრაფიულად	ɡ ɛ ɔ ɡ r ɑ pʰ i u l ɑ d
გეოლოგი	ɡ ɛ ɔ l ɔ ɡ i
გეოლოგიური	ɡ ɛ ɔ l ɔ ɡ i u r i
გეომეტრიული	ɡ ɛ ɔ m ɛ tʼ r i u l i
გეოპოლიტიკა	ɡ ɛ ɔ pʼ ɔ l i tʼ i kʼ ɑ
გეოფიზიკური	ɡ ɛ ɔ pʰ i z i kʼ u r i
გერასიმე	ɡ ɛ r ɑ s i m ɛ
გერბი	ɡ ɛ r b i
გერი	ɡ ɛ r i
გერმანელი	ɡ ɛ r m ɑ n ɛ l i
გერმანიად	ɡ ɛ r m ɑ n i ɑ d
გერმანიამ	ɡ ɛ r m ɑ n i ɑ m
გერმანიას	ɡ ɛ r m ɑ n i ɑ s
გერმანული	ɡ ɛ r m ɑ n u l i
გესლიანი	ɡ ɛ s l i ɑ n i
გვალვა	ɡ v ɑ l v ɑ
გვამი	ɡ v ɑ m i
გვანცა	ɡ v ɑ n t͡s ɑ
გვარად	ɡ v ɑ r ɑ d
გვარი	ɡ v ɑ r i
გვარით	ɡ v ɑ r i tʰ
გვარის	ɡ v ɑ r i s
გვარმა	ɡ v ɑ r m ɑ
გვაქვს	ɡ v ɑ kʰ v s
გველთევზა	ɡ v ɛ l tʰ ɛ v z ɑ
გველი	ɡ v ɛ l i
გვერდზე	ɡ v ɛ r d z ɛ
გვერდი	ɡ v ɛ r d i
გვერდით	ɡ v ɛ r d i tʰ
გვერდითი	ɡ v ɛ r d i tʰ i
გვერდის	ɡ v ɛ r d i s
გვერდმა	ɡ v ɛ r d m ɑ
გვერდულად	ɡ v ɛ r d u l ɑ d
გვიან	ɡ v i ɑ n
გვიანი	ɡ v i ɑ n i
გვინეა	ɡ v i n ɛ ɑ
გვირაბი	ɡ v i r ɑ b i
გვირგვინი	ɡ v i r ɡ v i n i
გვშია	ɡ v ʃ i ɑ
გვწყურია	ɡ v t͡sʼ qʼ u r i ɑ
გზა	ɡ z ɑ
გზამ	ɡ z ɑ m
გზას	ɡ z ɑ s
გზატკეცილი	ɡ z ɑ tʼ kʼ ɛ t͡s i l i
გზებს	ɡ z ɛ b s
გზით	ɡ z i tʰ
გზის	ɡ z i s
გთხოვ	ɡ tʰ x ɔ v
გთხოვთ	ɡ tʰ x ɔ v tʰ
გია	ɡ i ɑ
გიბრალტარი	ɡ i b r ɑ l tʼ ɑ r i
გიგანტური	ɡ i ɡ ɑ n tʼ u r i
გივი	ɡ i v i
გიზო	ɡ i z ɔ
გილდია	ɡ i l d i ɑ
გილოცავთ	ɡ i l ɔ t͡s ɑ v tʰ
გინდა	ɡ i n d ɑ
გინება	ɡ i n ɛ b ɑ
გინეკოლოგი	ɡ i n ɛ kʼ ɔ l ɔ ɡ i
გიორგაძე	ɡ i ɔ r ɡ ɑ d͡z ɛ
გიორგი	ɡ i ɔ r ɡ i
გიორგის	ɡ i ɔ r ɡ i s
გიჟი	ɡ i ʒ i
გიჟივით	ɡ i ʒ i v i tʰ
გირაგი	ɡ i r ɑ ɡ i
გირაო	ɡ i r ɑ ɔ
გისმენთ	ɡ i s m ɛ n tʰ
გისურვებთ	ɡ i s u r v ɛ b tʰ
გიტარა	ɡ i tʼ ɑ r ɑ
გლადიატორი	ɡ l ɑ d i ɑ tʼ ɔ r i
გლაზგო	ɡ l ɑ z ɡ ɔ
გლაუკომა	ɡ l ɑ u kʼ ɔ m ɑ
გლეხები	ɡ l ɛ x ɛ b i
გლეხი	ɡ l ɛ x i
გლეხობა	ɡ l ɛ x ɔ b ɑ
გლობალური	ɡ l ɔ b ɑ l u r i
გმადლობთ	ɡ m ɑ d l ɔ b tʰ
გმირი	ɡ m i r i
გმირობა	ɡ m i r ɔ b ɑ
გმირულად	ɡ m i r u l ɑ d
გნებავთ	ɡ n ɛ b ɑ v tʰ
გნიასი	ɡ n i ɑ s i
გნოლი	ɡ n ɔ l i
გობელენი	ɡ ɔ b ɛ l ɛ n i
გობი	ɡ ɔ b i
გოგა	ɡ ɔ ɡ ɑ
გოგაშვილი	ɡ ɔ ɡ ɑ ʃ v i l i
გოგირდი	ɡ ɔ ɡ i r d i
გოგო	ɡ ɔ ɡ ɔ
გოგოები	ɡ ɔ ɡ ɔ ɛ b i
გოგოების	ɡ ɔ ɡ ɔ ɛ b i s
გოგოებს	ɡ ɔ ɡ ɔ ɛ b s
გოგომ	ɡ ɔ ɡ ɔ m
გოგონა	ɡ ɔ ɡ ɔ n ɑ
გოგოს	ɡ ɔ ɡ ɔ s
გოგრა	ɡ ɔ ɡ r ɑ
გოზინაყი	ɡ ɔ z i n ɑ qʼ i
გოიმი	ɡ ɔ i m i
გოლგოთა	ɡ ɔ l ɡ ɔ tʰ ɑ
გოლი	ɡ ɔ l i
გოლფი	ɡ ɔ l pʰ i
გომი	ɡ ɔ m i
გომიაშვილი	ɡ ɔ m i ɑ ʃ v i l i
გონაშვილი	ɡ ɔ n ɑ ʃ v i l i
გონდოლა	ɡ ɔ n d ɔ l ɑ
გონება	ɡ ɔ n ɛ b ɑ
გონებაჩლუნგი	ɡ ɔ n ɛ b ɑ t͡ʃ l u n ɡ i
გონებრივი	ɡ ɔ n ɛ b r i v i
გონიერება	ɡ ɔ n i ɛ r ɛ b ɑ
გონიერი	ɡ ɔ n i ɛ r i
გონივრულად	ɡ ɔ n i v r u l ɑ d
გონივრული	ɡ ɔ n i v r u l i
გონიო	ɡ ɔ n i ɔ
გორდონი	ɡ ɔ r d ɔ n i
გორი	ɡ ɔ r i
გოჩა	ɡ ɔ t͡ʃ ɑ
გოჭი	ɡ ɔ t͡ʃʼ i
გრადაცია	ɡ r ɑ d ɑ t͡s i ɑ
გრადუსი	ɡ r ɑ d u s i
გრავიურა	ɡ r ɑ v i u r ɑ
გრამატიკულად	ɡ r ɑ m ɑ tʼ i kʼ u l ɑ d
გრამატიკული	ɡ r ɑ m ɑ tʼ i kʼ u l i
გრამი	ɡ r ɑ m i
გრამოფონი	ɡ r ɑ m ɔ pʰ ɔ n i
გრანდიოზულად	ɡ r ɑ n d i ɔ z u l ɑ d
გრანდიოზული	ɡ r ɑ n d i ɔ z u l i
გრაფიკი	ɡ r ɑ pʰ i kʼ i
გრაციოზული	ɡ r ɑ t͡s i ɔ z u l i
გრგვინვა	ɡ r ɡ v i n v ɑ
გრეგი	ɡ r ɛ ɡ i
გრეგორი	ɡ r ɛ ɡ ɔ r i
გრეიპფრუტი	ɡ r ɛ i pʼ pʰ r u tʼ i
გრენადა	ɡ r ɛ n ɑ d ɑ
გრენადილი	ɡ r ɛ n ɑ d i l i
გრიგალი	ɡ r i ɡ ɑ l i
გრიგოლ	ɡ r i ɡ ɔ l
გრილი	ɡ r i l i
გრიმი	ɡ r i m i
გრიპი	ɡ r i pʼ i
გრიფი	ɡ r i pʰ i
გრიფონი	ɡ r i pʰ ɔ n i
გრუნტი	ɡ r u n tʼ i
გრძელვადიანი	ɡ r d͡z ɛ l v ɑ d i ɑ n i
გრძელი	ɡ r d͡z ɛ l i
გრძივი	ɡ r d͡z i v i
გრძნობა	ɡ r d͡z n ɔ b ɑ
გრძნობთ	ɡ r d͡z n ɔ b tʰ
გრძნობს	ɡ r d͡z n ɔ b s
გუაში	ɡ u ɑ ʃ i
გუგა	ɡ u ɡ ɑ
გუგლი	ɡ u ɡ l i
გუგუშვილი	ɡ u ɡ u ʃ v i l i
გუდასტვირი	ɡ u d ɑ s tʼ v i r i
გუთანი	ɡ u tʰ ɑ n i
გულახდილად	ɡ u l ɑ x d i l ɑ d
გულახდილი	ɡ u l ɑ x d i l i
გულგრილი	ɡ u l ɡ r i l i
გულგრილობა	ɡ u l ɡ r i l ɔ b ɑ
გულთბილი	ɡ u l tʰ b i l i
გული	ɡ u l i
გულითადად	ɡ u l i tʰ ɑ d ɑ d
გულითადი	ɡ u l i tʰ ɑ d i
გულისცემა	ɡ u l i s t͡s ɛ m ɑ
გულკეთილობა	ɡ u l kʼ ɛ tʰ i l ɔ b ɑ
გულმავიწყი	ɡ u l m ɑ v i t͡sʼ qʼ i
გულმავიწყობა	ɡ u l m ɑ v i t͡sʼ qʼ ɔ b ɑ
გულმკერდი	ɡ u l m kʼ ɛ r d i
გულმოდგინე	ɡ u l m ɔ d ɡ i n ɛ
გულმოდგინედ	ɡ u l m ɔ d ɡ i n ɛ d
გულმოწყალება	ɡ u l m ɔ t͡sʼ qʼ ɑ l ɛ b ɑ
გულუბრყვილო	ɡ u l u b r qʼ v i l ɔ
გულუხვად	ɡ u l u x v ɑ d
გულქვა	ɡ u l kʰ v ɑ
გულღიად	ɡ u l ɣ i ɑ d
გულშემატკივარი	ɡ u l ʃ ɛ m ɑ tʼ kʼ i v ɑ r i
გულძმარვა	ɡ u l d͡z m ɑ r v ɑ
გულწითელა	ɡ u l t͡sʼ i tʰ ɛ l ɑ
გულწრფელად	ɡ u l t͡sʼ r pʰ ɛ l ɑ d
გულწრფელობა	ɡ u l t͡sʼ r pʰ ɛ l ɔ b ɑ
გუმანით	ɡ u m ɑ n i tʰ
გუნდა	ɡ u n d ɑ
გუნდი	ɡ u n d i
გურია	ɡ u r i ɑ
გურიად	ɡ u r i ɑ d
გურიამ	ɡ u r i ɑ m
გურიით	ɡ u r i i tʰ
გურიის	ɡ u r i i s
გურმანი	ɡ u r m ɑ n i
გურული	ɡ u r u l i
გურჯი	ɡ u r d͡ʒ i
გუშინ	ɡ u ʃ i n
გუშინდელი	ɡ u ʃ i n d ɛ l i
გუშინწინ	ɡ u ʃ i n t͡sʼ i n
გყავთ	ɡ qʼ ɑ v tʰ
გწყურიათ	ɡ t͡sʼ qʼ u r i ɑ tʰ
გჭირდება	ɡ t͡ʃʼ i r d ɛ b ɑ
და	d ɑ
დააგრძელებს	d ɑ ɑ ɡ r d͡z ɛ l ɛ b s
დაავადება	d ɑ ɑ v ɑ d ɛ b ɑ
დაავიწყდება	d ɑ ɑ v i t͡sʼ qʼ d ɛ b ɑ
დაავიწყებს	d ɑ ɑ v i t͡sʼ qʼ ɛ b s
დაამზადებს	d ɑ ɑ m z ɑ d ɛ b s
დაამოწმებს	d ɑ ɑ m ɔ t͡sʼ m ɛ b s
დაასაფლავებს	d ɑ ɑ s ɑ pʰ l ɑ v ɛ b s
დაასრულა	d ɑ ɑ s r u l ɑ
დაასრულებს	d ɑ ɑ s r u l ɛ b s
დაახლოებით	d ɑ ɑ x l ɔ ɛ b i tʰ
დაბა	d ɑ b ɑ
დაბადება	d ɑ b ɑ d ɛ b ɑ
დაბადებამ	d ɑ b ɑ d ɛ b ɑ m
დაბადებას	d ɑ b ɑ d ɛ b ɑ s
დაბადების	d ɑ b ɑ d ɛ b i s
დაბალი	d ɑ b ɑ l i
დაბზარული	d ɑ b z ɑ r u l i
დაბლა	d ɑ b l ɑ
დაბლობი	d ɑ b l ɔ b i
დაბნელება	d ɑ b n ɛ l ɛ b ɑ
დაბნეული	d ɑ b n ɛ u l i
დაბნეულობა	d ɑ b n ɛ u l ɔ b ɑ
დაბოლოება	d ɑ b ɔ l ɔ ɛ b ɑ
დაბრუნდნენ	d ɑ b r u n d n ɛ n
დაბრუნების	d ɑ b r u n ɛ b i s
დაგეზარებათ	d ɑ ɡ ɛ z ɑ r ɛ b ɑ tʰ
დაგვეხმაროთ	d ɑ ɡ v ɛ x m ɑ r ɔ tʰ
დაგვიანებული	d ɑ ɡ v i ɑ n ɛ b u l i
დაგლეჯილი	d ɑ ɡ l ɛ d͡ʒ i l i
დადგენილი	d ɑ d ɡ ɛ n i l i
დადებითად	d ɑ d ɛ b i tʰ ɑ d
დადებითი	d ɑ d ɛ b i tʰ i
დაეზარება	d ɑ ɛ z ɑ r ɛ b ɑ
დაეთმო	d ɑ ɛ tʰ m ɔ
დაეუფლება	d ɑ ɛ u pʰ l ɛ b ɑ
დაეჭვებულად	d ɑ ɛ t͡ʃʼ v ɛ b u l ɑ d
დაეხმარება	d ɑ ɛ x m ɑ r ɛ b ɑ
დავა	d ɑ v ɑ
დავალება	d ɑ v ɑ l ɛ b ɑ
დავალებული	d ɑ v ɑ l ɛ b u l i
დავალიანება	d ɑ v ɑ l i ɑ n ɛ b ɑ
დავამარცხე	d ɑ v ɑ m ɑ r t͡s x ɛ
დავით	d ɑ v i tʰ
დავითაშვილი	d ɑ v i tʰ ɑ ʃ v i l i
დავითი	d ɑ v i tʰ i
დავიწყე	d ɑ v i t͡sʼ qʼ ɛ
დავიწყება	d ɑ v i t͡sʼ qʼ ɛ b ɑ
დავიწყეთ	d ɑ v i t͡sʼ qʼ ɛ tʰ
დავკარგე	d ɑ v kʼ ɑ r ɡ ɛ
დავლევ	d ɑ v l ɛ v
დავრჩე	d ɑ v r t͡ʃ ɛ
დავუბრუნდეთ	d ɑ v u b r u n d ɛ tʰ
დაზარალებული	d ɑ z ɑ r ɑ l ɛ b u l i
დაზგა	d ɑ z ɡ ɑ
დაზღვევა	d ɑ z ɣ v ɛ v ɑ
დათარიღებული	d ɑ tʰ ɑ r i ɣ ɛ b u l i
დათმობა	d ɑ tʰ m ɔ b ɑ
დათმობით	d ɑ tʰ m ɔ b i tʰ
დათმობს	d ɑ tʰ m ɔ b s
დათო	d ɑ tʰ ɔ
დათრგუნვა	d ɑ tʰ r ɡ u n v ɑ
დათრგუნული	d ɑ tʰ r ɡ u n u l i
დაი	d ɑ i
დაივიწყებს	d ɑ i v i t͡sʼ qʼ ɛ b s
დაიკარგა	d ɑ i kʼ ɑ r ɡ ɑ
დაიკარგება	d ɑ i kʼ ɑ r ɡ ɛ b ɑ
დაიკო	d ɑ i kʼ ɔ
დაინახა	d ɑ i n ɑ x ɑ
დაინახავს	d ɑ i n ɑ x ɑ v s
დაიპყრობს	d ɑ i pʼ qʼ r ɔ b s
დაისვენებს	d ɑ i s v ɛ n ɛ b s
დაისვენოს	d ɑ i s v ɛ n ɔ s
დაისი	d ɑ i s i
დაიძინებს	d ɑ i d͡z i n ɛ b s
დაიწყებს	d ɑ i t͡sʼ qʼ ɛ b s
დაიწყო	d ɑ i t͡sʼ qʼ ɔ
დაიჭერს	d ɑ i t͡ʃʼ ɛ r s
დაკავებული	d ɑ kʼ ɑ v ɛ b u l i
დაკავშირებული	d ɑ kʼ ɑ v ʃ i r ɛ b u l i
დაკარგა	d ɑ kʼ ɑ r ɡ ɑ
დაკარგავს	d ɑ kʼ ɑ r ɡ ɑ v s
დაკარგეს	d ɑ kʼ ɑ r ɡ ɛ s
დაკბილული	d ɑ kʼ b i l u l i
დაკვირვებულად	d ɑ kʼ v i r v ɛ b u l ɑ d
დაკვირვებული	d ɑ kʼ v i r v ɛ b u l i
დაკრძალვა	d ɑ kʼ r d͡z ɑ l v ɑ
დაკუნთული	d ɑ kʼ u n tʰ u l i
დალასი	d ɑ l ɑ s i
დალაქი	d ɑ l ɑ kʰ i
დალევა	d ɑ l ɛ v ɑ
დალევს	d ɑ l ɛ v s
დალია	d ɑ l i ɑ
დალინკვა	d ɑ l i n kʼ v ɑ
დამათრობელი	d ɑ m ɑ tʰ r ɔ b ɛ l i
დამაკმაყოფილებლად	d ɑ m ɑ kʼ m ɑ qʼ ɔ pʰ i l ɛ b l ɑ d
დამალავს	d ɑ m ɑ l ɑ v s
დამალული	d ɑ m ɑ l u l i
დამამშვიდებლად	d ɑ m ɑ m ʃ v i d ɛ b l ɑ d
დამამცირებლად	d ɑ m ɑ m t͡s i r ɛ b l ɑ d
დამამძიმებლად	d ɑ m ɑ m d͡z i m ɛ b l ɑ d
დამანგრეველი	d ɑ m ɑ n ɡ r ɛ v ɛ l i
დამარცხება	d ɑ m ɑ r t͡s x ɛ b ɑ
დამარცხებული	d ɑ m ɑ r t͡s x ɛ b u l i
დამასკო	d ɑ m ɑ s kʼ ɔ
დამატებითი	d ɑ m ɑ tʼ ɛ b i tʰ i
დამაჯერებელი	d ɑ m ɑ d͡ʒ ɛ r ɛ b ɛ l i
დამბლა	d ɑ m b l ɑ
დამგეგმავი	d ɑ m ɡ ɛ ɡ m ɑ v i
დამდგარი	d ɑ m d ɡ ɑ r i
დამესიჯება	d ɑ m ɛ s i d͡ʒ ɛ b ɑ
დამთმობი	d ɑ m tʰ m ɔ b i
დამთრგუნველად	d ɑ m tʰ r ɡ u n v ɛ l ɑ d
დამთრგუნველი	d ɑ m tʰ r ɡ u n v ɛ l i
დამიჭერია	d ɑ m i t͡ʃʼ ɛ r i ɑ
დამიჭირე	d ɑ m i t͡ʃʼ i r ɛ
დამლაგებელი	d ɑ m l ɑ ɡ ɛ b ɛ l i
დამნაშავეობა	d ɑ m n ɑ ʃ ɑ v ɛ ɔ b ɑ
დამოკიდებულება	d ɑ m ɔ kʼ i d ɛ b u l ɛ b ɑ
დამოკიდებული	d ɑ m ɔ kʼ i d ɛ b u l i
დამოუკიდებელი	d ɑ m ɔ u kʼ i d ɛ b ɛ l i
დამოუკიდებლად	d ɑ m ɔ u kʼ i d ɛ b l ɑ d
დამოუკიდებლობა	d ɑ m ɔ u kʼ i d ɛ b l ɔ b ɑ
დამოწმება	d ɑ m ɔ t͡sʼ m ɛ b ɑ
დამოწმებული	d ɑ m ɔ t͡sʼ m ɛ b u l i
დამპალი	d ɑ m pʼ ɑ l i
დამრიგებელი	d ɑ m r i ɡ ɛ b ɛ l i
დამსწრე	d ɑ m s t͡sʼ r ɛ
დამსჯელი	d ɑ m s d͡ʒ ɛ l i
დამუშავებული	d ɑ m u ʃ ɑ v ɛ b u l i
დამფუძნებელი	d ɑ m pʰ u d͡z n ɛ b ɛ l i
დამქანცველი	d ɑ m kʰ ɑ n t͡s v ɛ l i
დამღა	d ɑ m ɣ ɑ
დამღლელი	d ɑ m ɣ l ɛ l i
დამცავი	d ɑ m t͡s ɑ v i
დამცველად	d ɑ m t͡s v ɛ l ɑ d
დამცველი	d ɑ m t͡s v ɛ l i
დამწვრობა	d ɑ m t͡sʼ v r ɔ b ɑ
დამწნილებული	d ɑ m t͡sʼ n i l ɛ b u l i
დამწყები	d ɑ m t͡sʼ qʼ ɛ b i
დამხმარე	d ɑ m x m ɑ r ɛ
დამჯერი	d ɑ m d͡ʒ ɛ r i
დანაოჭებული	d ɑ n ɑ ɔ t͡ʃʼ ɛ b u l i
დანაშაულებრივად	d ɑ n ɑ ʃ ɑ u l ɛ b r i v ɑ d
დანაშაული	d ɑ n ɑ ʃ ɑ u l i
დანგრეული	d ɑ n ɡ r ɛ u l i
დანია	d ɑ n i ɑ
დანიური	d ɑ n i u r i
დანიშვნა	d ɑ n i ʃ v n ɑ
დანიშნული	d ɑ n i ʃ n u l i
