abba	ɒ bː ɒ
gyerek	ɟ ɛ r ɛ k
gyerekcipőben	ɟ ɛ r ɛ k t͡s i p øː b ɛ n
gyereke	ɟ ɛ r ɛ k ɛ
gyerekek	ɟ ɛ r ɛ k ɛ k
gyerekekkel	ɟ ɛ r ɛ k ɛ kː ɛ l
gyereket	ɟ ɛ r ɛ k ɛ t
gyermek	ɟ ɛ r m ɛ k
gyermeke	ɟ ɛ r m ɛ k ɛ
gyermekek	ɟ ɛ r m ɛ k ɛ k
gyermekeket	ɟ ɛ r m ɛ k ɛ k ɛ t
gyermeket	ɟ ɛ r m ɛ k ɛ t
gyermeki	ɟ ɛ r m ɛ k i
gyermekkori	ɟ ɛ r m ɛ kː o r i
gyermekorvos	ɟ ɛ r m ɛ k o r v o ʃ
gyermekotthon	ɟ ɛ r m ɛ k o t h o n
gyermekvédelem	ɟ ɛ r m ɛ k v eː d ɛ l ɛ m
gyermekvédelmi	ɟ ɛ r m ɛ k v eː d ɛ l m i
gyermekét	ɟ ɛ r m ɛ k eː t
gyilkos	ɟ i l k o ʃ
gyors	ɟ o r ʃ
gyorsabb	ɟ o r ʃ ɒ bː
gyorsabban	ɟ o r ʃ ɒ bː ɒ n
gyorsan	ɟ o r ʃ ɒ n
gyorshajtás	ɟ o r ʃ h ɒ j t aː ʃ
gyula	ɟ u l ɒ
gyár	ɟ aː r
gyártás	ɟ aː r t aː ʃ
gyártó	ɟ aː r t oː
gyártók	ɟ aː r t oː k
gyász	ɟ aː s
gyógyszeres	ɟ oː c s ɛ r ɛ ʃ
gyógyszeripar	ɟ oː c s ɛ r i p ɒ r
gyógyszerész	ɟ oː c s ɛ r eː s
gyógyászati	ɟ oː ɟ aː s ɒ t i
gyönge	ɟ ø ŋ ɡ ɛ
gyönyörű	ɟ ø ɲ ø r yː
györgy	ɟ ø r ɟ
gyülekezet	ɟ y l ɛ k ɛ z ɛ t
gyülekezeti	ɟ y l ɛ k ɛ z ɛ t i
gyümölcsök	ɟ y m ø l t͡ʃ ø k
gyümölcsöt	ɟ y m ø l t͡ʃ ø t
győr	ɟ øː r
győrben	ɟ øː r b ɛ n
győztes	ɟ øː s t ɛ ʃ
győzött	ɟ øː z ø tː
gyűjteményben	ɟ yː j t ɛ m eː ɲ b ɛ n
gyűjteménye	ɟ yː j t ɛ m eː ɲ ɛ
gyűjtő	ɟ yː j t øː
gyűlt	ɟ yː l t
gyűlölködő	ɟ yː l ø l k ø d øː
gyűlölködőbb	ɟ yː l ø l k ø d øː bː
gyűrűs	ɟ yː r yː ʃ
gágog	ɡ aː ɡ o ɡ
gárda	ɡ aː r d ɒ
gáspár	ɡ aː ʃ p aː r
gátló	ɡ aː t l oː
gép	ɡ eː p
gépek	ɡ eː p ɛ k
gépen	ɡ eː p ɛ n
gépi	ɡ eː p i
gépkocsi	ɡ eː p k o t͡ʃ i
gésák	ɡ eː ʃ aː k
géza	ɡ eː z ɒ
gól	ɡ oː l
góllal	ɡ oː lː ɒ l
gólt	ɡ oː l t
görcs	ɡ ø r t͡ʃ
görcsök	ɡ ø r t͡ʃ ø k
görög	ɡ ø r ø ɡ
görögök	ɡ ø r ø ɡ ø k
ha	h ɒ
habár	h ɒ b aː r
hada	h ɒ d ɒ
hadjárat	h ɒ d j aː r ɒ t
hadsereg	h ɒ t͡ʃː ɛ r ɛ ɡ
hadseregek	h ɒ t͡ʃː ɛ r ɛ ɡ ɛ k
hagyhat	h ɒ c h ɒ t
hagyja	h ɒ ɟː ɒ
hagyjuk	h ɒ ɟː u k
hagyják	h ɒ ɟː aː k
hagyjátok	h ɒ ɟː aː t o k
hagyma	h ɒ ɟ m ɒ
hagyni	h ɒ ɟ n i
hagynia	h ɒ ɟ n i j ɒ
hagynom	h ɒ ɟ n o m
hagynák	h ɒ ɟ n aː k
hagyom	h ɒ ɟ o m
hagyomány	h ɒ ɟ o m aː ɲ
hagyománya	h ɒ ɟ o m aː ɲ ɒ
hagyományai	h ɒ ɟ o m aː ɲ ɒ j i
hagyományokkal	h ɒ ɟ o m aː ɲ o kː ɒ l
hagyott	h ɒ ɟ o tː
hagyta	h ɒ c t ɒ
hagytak	h ɒ c t ɒ k
hagyták	h ɒ c t aː k
hajdani	h ɒ j d ɒ n i
hajlam	h ɒ j l ɒ m
hajlamos	h ɒ j l ɒ m o ʃ
hajlandó	h ɒ j l ɒ n d oː
hajléktalanok	h ɒ j l eː k t ɒ l ɒ n o k
hajnalban	h ɒ j n ɒ l b ɒ n
hajnali	h ɒ j n ɒ l i
hajszálak	h ɒ j s aː l ɒ k
hajt	h ɒ j t
hajó	h ɒ j oː
hajón	h ɒ j oː n
hajóra	h ɒ j oː r ɒ
hajótörést	h ɒ j oː t ø r eː ʃ t
halad	h ɒ l ɒ d
haladnak	h ɒ l ɒ d n ɒ k
halak	h ɒ l ɒ k
halhat	h ɒ l ɦ ɒ t
halk	h ɒ l k
hallgat	h ɒ l ɡ ɒ t
hallgató	h ɒ l ɡ ɒ t oː
hallgatók	h ɒ l ɡ ɒ t oː k
hallható	h ɒ l ɦ ɒ t oː
hallja	h ɒ jː ɒ
halljuk	h ɒ jː u k
hallják	h ɒ jː aː k
hallom	h ɒ lː o m
hallott	h ɒ lː o tː
hallottam	h ɒ lː o tː ɒ m
halott	h ɒ l o tː
halottak	h ɒ l o tː ɒ k
halotti	h ɒ l o tː i
halt	h ɒ l t
haltak	h ɒ l t ɒ k
halál	h ɒ l aː l
halála	h ɒ l aː l ɒ
halállal	h ɒ l aː lː ɒ l
halálos	h ɒ l aː l o ʃ
halálra	h ɒ l aː rː ɒ
halálát	h ɒ l aː l aː t
hamar	h ɒ m ɒ r
hamarosan	h ɒ m ɒ r o ʃ ɒ n
hamis	h ɒ m i ʃ
hamisan	h ɒ m i ʃ ɒ n
hamisítás	h ɒ m i ʃ iː t aː ʃ
hamupipőke	h ɒ m u p i p øː k ɛ
hanem	h ɒ n ɛ m
hang	h ɒ ŋ ɡ
hanggal	h ɒ ŋ ɡ ɒ l
hangja	h ɒ ŋ ɡ j ɒ
hangok	h ɒ ŋ ɡ o k
hangokat	h ɒ ŋ ɡ o k ɒ t
hangos	h ɒ ŋ ɡ o ʃ
hangosabb	h ɒ ŋ ɡ o ʃ ɒ bː
hangot	h ɒ ŋ ɡ o t
hangszer	h ɒ ŋ k s ɛ r
hangszerek	h ɒ ŋ k s ɛ r ɛ k
hangsúlyt	h ɒ ŋ k ʃ uː j t
hangzik	h ɒ ŋ ɡ z i k
hanyatlás	h ɒ ɲ ɒ t l aː ʃ
harang	h ɒ r ɒ ŋ ɡ
harangok	h ɒ r ɒ ŋ ɡ o k
harcos	h ɒ r t͡s o ʃ
harcot	h ɒ r t͡s o t
hardver	h ɒ r d v ɛ r
hargita	h ɒ r ɡ i t ɒ
harmadik	h ɒ r m ɒ d i k
harminc	h ɒ r m i n t͡s
harmonikus	h ɒ r m o n i k u ʃ
hasa	h ɒ ʃ ɒ
hasadék	h ɒ ʃ ɒ d eː k
hasonlít	h ɒ ʃ o n l iː t
hasonló	h ɒ ʃ o n l oː
hasonlóan	h ɒ ʃ o n l oː ɒ n
hasznos	h ɒ s n o ʃ
hasznosítás	h ɒ s n o ʃ iː t aː ʃ
használ	h ɒ s n aː l
használat	h ɒ s n aː l ɒ t
használhat	h ɒ s n aː l ɦ ɒ t
használható	h ɒ s n aː l ɦ ɒ t oː
használhatóak	h ɒ s n aː l ɦ ɒ t oː ɒ k
használja	h ɒ s n aː jː ɒ
használják	h ɒ s n aː jː aː k
használni	h ɒ s n aː l n i
használom	h ɒ s n aː l o m
használt	h ɒ s n aː l t
használták	h ɒ s n aː l t aː k
hasznára	h ɒ s n aː r ɒ
haszon	h ɒ s o n
haszontalan	h ɒ s o n t ɒ l ɒ n
hasábköz	h ɒ ʃ aː p k ø z
hat	h ɒ t
hatalmas	h ɒ t ɒ l m ɒ ʃ
hatni	h ɒ t n i
hatodik	h ɒ t o d i k
hatottak	h ɒ t o tː ɒ k
hatra	h ɒ t r ɒ
hatályon	h ɒ t aː j o n
hatályos	h ɒ t aː j o ʃ
határ	h ɒ t aː r
határidők	h ɒ t aː r i d øː k
határidőt	h ɒ t aː r i d øː t
határok	h ɒ t aː r o k
határokon	h ɒ t aː r o k o n
határon	h ɒ t aː r o n
határoz	h ɒ t aː r o z
határozat	h ɒ t aː r o z ɒ t
határozatot	h ɒ t aː r o z ɒ t o t
határozni	h ɒ t aː r o z n i
határozott	h ɒ t aː r o z o tː
határozottabb	h ɒ t aː r o z o tː ɒ bː
határozzák	h ɒ t aː r o zː aː k
határt	h ɒ t aː r t
határőr	h ɒ t aː r øː r
hatás	h ɒ t aː ʃ
hatása	h ɒ t aː ʃ ɒ
hatásai	h ɒ t aː ʃ ɒ j i
hatásokat	h ɒ t aː ʃ o k ɒ t
hatással	h ɒ t aː ʃː ɒ l
hatást	h ɒ t aː ʃ t
hatására	h ɒ t aː ʃ aː r ɒ
hatását	h ɒ t aː ʃ aː t
hatékony	h ɒ t eː k o ɲ
hatékonyabb	h ɒ t eː k o ɲ ɒ bː
hatékonyan	h ɒ t eː k o ɲ ɒ n
hatékonyság	h ɒ t eː k o ɲ ʃ aː ɡ
hatékonysága	h ɒ t eː k o ɲ ʃ aː ɡ ɒ
ható	h ɒ t oː
hatóság	h ɒ t oː ʃ aː ɡ
hatósági	h ɒ t oː ʃ aː ɡ i
hatóságok	h ɒ t oː ʃ aː ɡ o k
havas	h ɒ v ɒ ʃ
havonta	h ɒ v o n t ɒ
haza	h ɒ z ɒ
hazai	h ɒ z ɒ j i
hazaiak	h ɒ z ɒ j i j ɒ k
hazám	h ɒ z aː m
hazánk	h ɒ z aː ŋ k
hazánkban	h ɒ z aː ŋ ɡ b ɒ n
hegedűk	h ɛ ɡ ɛ d yː k
hegy	h ɛ ɟ
hektár	h ɛ k t aː r
helikopter	h ɛ l i k o p t ɛ r
hely	h ɛ j
helybeli	h ɛ j b ɛ l i
helyben	h ɛ j b ɛ n
helye	h ɛ j ɛ
helyek	h ɛ j ɛ k
helyeken	h ɛ j ɛ k ɛ n
helyeket	h ɛ j ɛ k ɛ t
helyeknek	h ɛ j ɛ k n ɛ k
helyekről	h ɛ j ɛ k r øː l
helyen	h ɛ j ɛ n
helyes	h ɛ j ɛ ʃ
helyesen	h ɛ j ɛ ʃ ɛ n
helyesírási	h ɛ j ɛ ʃ iː r aː ʃ i
helyet	h ɛ j ɛ t
helyett	h ɛ j ɛ tː
helyette	h ɛ j ɛ tː ɛ
helyetted	h ɛ j ɛ tː ɛ d
helyettes	h ɛ j ɛ tː ɛ ʃ
helyez	h ɛ j ɛ z
helyezett	h ɛ j ɛ z ɛ tː
helyezkedik	h ɛ j ɛ s k ɛ d i k
helyezni	h ɛ j ɛ z n i
helyezés	h ɛ j ɛ z eː ʃ
helyi	h ɛ j i
helyig	h ɛ j i ɡ
helyiségek	h ɛ j i ʃ eː ɡ ɛ k
helynek	h ɛ j n ɛ k
helyre	h ɛ j r ɛ
helyről	h ɛ j r øː l
helyszín	h ɛ j s iː n
helyszíne	h ɛ j s iː n ɛ
helyszínen	h ɛ j s iː n ɛ n
helyszíni	h ɛ j s iː n i
helyszínre	h ɛ j s iː n r ɛ
helyszínt	h ɛ j s iː n t
helyszínén	h ɛ j s iː n eː n
helytelen	h ɛ j t ɛ l ɛ n
helyzet	h ɛ j z ɛ t
helyzetbe	h ɛ j z ɛ d b ɛ
helyzetben	h ɛ j z ɛ d b ɛ n
helyzetből	h ɛ j z ɛ d b øː l
helyzetek	h ɛ j z ɛ t ɛ k
helyzetet	h ɛ j z ɛ t ɛ t
helyén	h ɛ j eː n
helyére	h ɛ j eː r ɛ
helyét	h ɛ j eː t
henrik	h ɛ n r i k
herceg	h ɛ r t͡s ɛ ɡ
hercegnőnek	h ɛ r t͡s ɛ ɡ n øː n ɛ k
hete	h ɛ t ɛ
hetek	h ɛ t ɛ k
hetekben	h ɛ t ɛ ɡ b ɛ n
hetekig	h ɛ t ɛ k i ɡ
heterogén	h ɛ t ɛ r o ɡ eː n
hetes	h ɛ t ɛ ʃ
hetet	h ɛ t ɛ t
heti	h ɛ t i
hetilap	h ɛ t i l ɒ p
hetvenhét	h ɛ t v ɛ n ɦ eː t
hetvennégy	h ɛ t v ɛ nː eː ɟ
hetvenöt	h ɛ t v ɛ n ø t
hiba	h i b ɒ
hibája	h i b aː j ɒ
hibák	h i b aː k
hibákat	h i b aː k ɒ t
hibásan	h i b aː ʃ ɒ n
hibát	h i b aː t
hibátlanul	h i b aː t l ɒ n u l
hidat	h i d ɒ t
hidd	h i dː
hideg	h i d ɛ ɡ
higgye	h i ɟː ɛ
hihetetlen	h i ɦ ɛ t ɛ t l ɛ n
himalája	h i m ɒ l aː j ɒ
hinni	h i nː i
hinné	h i nː eː
hinnénk	h i nː eː ŋ k
hirtelen	h i r t ɛ l ɛ n
hisszük	h i sː y k
hisz	h i s
hiszem	h i s ɛ m
hiszi	h i s i
hiszik	h i s i k
hisznek	h i s n ɛ k
hisztéria	h i s t eː r i j ɒ
hitel	h i t ɛ l
hitelek	h i t ɛ l ɛ k
hiteles	h i t ɛ l ɛ ʃ
hitelesebb	h i t ɛ l ɛ ʃ ɛ bː
hitelesség	h i t ɛ l ɛ ʃː eː ɡ
hitelkártyát	h i t ɛ l k aː r c aː t
hitelt	h i t ɛ l t
hitt	h i tː
hittem	h i tː ɛ m
hittünk	h i tː y ŋ k
hivatal	h i v ɒ t ɒ l
hivatalok	h i v ɒ t ɒ l o k
hivatalos	h i v ɒ t ɒ l o ʃ
hivatkozik	h i v ɒ t k o z i k
hiába	h i j aː b ɒ
hiány	h i j aː ɲ
hiánya	h i j aː ɲ ɒ
hiányos	h i j aː ɲ o ʃ
hiányosságok	h i j aː ɲ o ʃː aː ɡ o k
hiányt	h i j aː ɲ t
hiányzik	h i j aː ɲ z i k
hogy	h o ɟ
hogyan	h o ɟ ɒ n
hogyha	h o c h ɒ
hogyhogy	h o c h o ɟ
hold	h o l d
holland	h o lː ɒ n d
hollandia	h o lː ɒ n d i j ɒ
holnap	h o l n ɒ p
holott	h o l o tː
homokos	h o m o k o ʃ
homályos	h o m aː j o ʃ
honda	h o n d ɒ
honlapja	h o n l ɒ p j ɒ
honlapján	h o n l ɒ p j aː n
honlapjára	h o n l ɒ p j aː r ɒ
honvédelmi	h o ɱ v eː d ɛ l m i
honvédség	h o ɱ v eː t͡ʃː eː ɡ
hord	h o r d
hordozható	h o r d o s h ɒ t oː
hordozó	h o r d o z oː
hordók	h o r d oː k
horgász	h o r ɡ aː s
hormonok	h o r m o n o k
horn	h o r n
horthy	h o r t i
horvát	h o r v aː t
horváth	h o r v aː t
horvátország	h o r v aː t o r s aː ɡ
horvátországi	h o r v aː t o r s aː ɡ i
hosszabb	h o sː ɒ bː
hosszan	h o sː ɒ n
hosszú	h o sː uː
hotel	h o t ɛ l
hotelben	h o t ɛ l b ɛ n
hová	h o v aː
hoz	h o z
hozamok	h o z ɒ m o k
hozd	h o z d
hozhat	h o s h ɒ t
hoznak	h o z n ɒ k
hozni	h o z n i
hozott	h o z o tː
hozta	h o s t ɒ
hozták	h o s t aː k
hozza	h o zː ɒ
hozzá	h o zː aː
hozzáférhető	h o zː aː f eː r ɦ ɛ t øː
hozzájuk	h o zː aː j u k
hozzájárul	h o zː aː j aː r u l
hozzájárulás	h o zː aː j aː r u l aː ʃ
hozzájárulások	h o zː aː j aː r u l aː ʃ o k
hozzánk	h o zː aː ŋ k
hozzászólás	h o zː aː s oː l aː ʃ
hozzászólások	h o zː aː s oː l aː ʃ o k
hozzátartozók	h o zː aː t ɒ r t o z oː k
hozzátok	h o zː aː t o k
hozó	h o z oː
huligán	h u l i ɡ aː n
hulla	h u lː ɒ
hulladékok	h u lː ɒ d eː k o k
hullámzik	h u lː aː m z i k
humoros	h u m o r o ʃ
hun	h u n
hunyadi	h u ɲ ɒ d i
hunyt	h u ɲ t
huszonegyedik	h u s o n ɛ ɟː ɛ d i k
huszonhat	h u s o n ɦ ɒ t
huszonhárom	h u s o n ɦ aː r o m
huszonnégy	h u s o nː eː ɟ
huszonöt	h u s o n ø t
háború	h aː b o r uː
háborúban	h aː b o r uː b ɒ n
háborúja	h aː b o r uː j ɒ
háborúk	h aː b o r uː k
háborút	h aː b o r uː t
hág	h aː ɡ
hálás	h aː l aː ʃ
hálát	h aː l aː t
háló	h aː l oː
hálózat	h aː l oː z ɒ t
hálózatba	h aː l oː z ɒ d b ɒ
hálózati	h aː l oː z ɒ t i
hálózatok	h aː l oː z ɒ t o k
hálózatokon	h aː l oː z ɒ t o k o n
hálózaton	h aː l oː z ɒ t o n
hány	h aː ɲ
hányan	h aː ɲ ɒ n
hármas	h aː r m ɒ ʃ
hármat	h aː r m ɒ t
három	h aː r o m
háromszor	h aː r o m s o r
háromszoros	h aː r o m s o r o ʃ
hát	h aː t
háta	h aː t ɒ
hátat	h aː t ɒ t
hátha	h aː t h ɒ
hátralevő	h aː t r ɒ l ɛ v øː
hátrányos	h aː t r aː ɲ o ʃ
hátteret	h aː tː ɛ r ɛ t
háttér	h aː tː eː r
háttérbe	h aː tː eː r b ɛ
háttérben	h aː tː eː r b ɛ n
hátul	h aː t u l
hátulsó	h aː t u l ʃ oː
ház	h aː z
házai	h aː z ɒ j i
házak	h aː z ɒ k
házaspár	h aː z ɒ ʃ p aː r
házat	h aː z ɒ t
házba	h aː z b ɒ
házban	h aː z b ɒ n
házból	h aː z b oː l
házhoz	h aː s h o z
házi	h aː z i
házigazda	h aː z i ɡ ɒ z d ɒ
háznak	h aː z n ɒ k
házon	h aː z o n
háztartás	h aː s t ɒ r t aː ʃ
héj	h eː j
héja	h eː j ɒ
hétben	h eː d b ɛ n
héten	h eː t ɛ n
hétfő	h eː t f øː
hétfői	h eː t f øː j i
hétfőn	h eː t f øː n
hétig	h eː t i ɡ
hétköznapi	h eː t k ø z n ɒ p i
hétnél	h eː t n eː l
héttel	h eː tː ɛ l
hétvége	h eː t v eː ɡ ɛ
hétvégenként	h eː t v eː ɡ ɛ ŋ k eː n t
hétvégi	h eː t v eː ɡ i
hétvégén	h eː t v eː ɡ eː n
híd	h iː d
hídon	h iː d o n
hímek	h iː m ɛ k
hír	h iː r
hírek	h iː r ɛ k
híreket	h iː r ɛ k ɛ t
híres	h iː r ɛ ʃ
híresség	h iː r ɛ ʃː eː ɡ
hírességek	h iː r ɛ ʃː eː ɡ ɛ k
hírlap	h iː r l ɒ p
hírrel	h iː rː ɛ l
hírt	h iː r t
hírtelevízió	h iː r t ɛ l ɛ v iː z i j oː
hírül	h iː r y l
híve	h iː v ɛ
hívja	h iː v j ɒ
hívnak	h iː v n ɒ k
hívni	h iː v n i
hívás	h iː v aː ʃ
hívő	h iː v øː
hívők	h iː v øː k
hó	h oː
hócipője	h oː t͡s i p øː j ɛ
hód	h oː d
hódmezővásárhely	h oː d m ɛ z øː v aː ʃ aː r ɦ ɛ j
hódít	h oː d iː t
hódító	h oː d iː t oː
hófehérke	h oː f ɛ ɦ eː r k ɛ
hónap	h oː n ɒ p
hónapja	h oː n ɒ p j ɒ
hónapok	h oː n ɒ p o k
hónapos	h oː n ɒ p o ʃ
hónapra	h oː n ɒ p r ɒ
hölgy	h ø l ɟ
hú	h uː
hús	h uː ʃ
húsok	h uː ʃ o k
húst	h uː ʃ t
húsvét	h uː ʃ v eː t
húsvéti	h uː ʃ v eː t i
húzni	h uː z n i
húzza	h uː zː ɒ
húzódik	h uː z oː d i k
húzódó	h uː z oː d oː
hüllő	h y lː øː
hülye	h y j ɛ
hő	h øː
hőmérséklet	h øː m eː r ʃ eː k l ɛ t
hős	h øː ʃ
hőség	h øː ʃ eː ɡ
hősök	h øː ʃ ø k
hű	h yː
hűséges	h yː ʃ eː ɡ ɛ ʃ
hűtlenség	h yː t l ɛ n ʃ eː ɡ
hűvösebb	h yː v ø ʃ ɛ bː
idegen	i d ɛ ɡ ɛ n
idegenforgalmi	i d ɛ ɡ ɛ ɱ f o r ɡ ɒ l m i
idegenlégiósok	i d ɛ ɡ ɛ n l eː ɡ i j oː ʃ o k
idei	i d ɛ j i
ideig	i d ɛ j i ɡ
ideiglenes	i d ɛ j i ɡ l ɛ n ɛ ʃ
ideiglenesen	i d ɛ j i ɡ l ɛ n ɛ ʃ ɛ n
ideje	i d ɛ j ɛ
idején	i d ɛ j eː n
idejére	i d ɛ j eː r ɛ
idejét	i d ɛ j eː t
identitás	i d ɛ n t i t aː ʃ
ideológiai	i d ɛ o l oː ɡ i j ɒ j i
ideális	i d ɛ aː l i ʃ
idén	i d eː n
idény	i d eː ɲ
idézettel	i d eː z ɛ tː ɛ l
idő	i d øː
időbeli	i d øː b ɛ l i
időben	i d øː b ɛ n
időbeosztás	i d øː b ɛ o s t aː ʃ
időgép	i d øː ɡ eː p
idők	i d øː k
időkben	i d øː ɡ b ɛ n
időktől	i d øː k t øː l
időközben	i d øː k ø z b ɛ n
időközi	i d øː k ø z i
időn	i d øː n
időnként	i d øː ŋ k eː n t
időnkénti	i d øː ŋ k eː n t i
időpont	i d øː p o n t
időpontban	i d øː p o n d b ɒ n
időpontja	i d øː p o ɲ c ɒ
időpontjában	i d øː p o ɲ c aː b ɒ n
időpontok	i d øː p o n t o k
időpontra	i d øː p o n t r ɒ
időre	i d øː r ɛ
időrendi	i d øː r ɛ n d i
idős	i d øː ʃ
idősebb	i d øː ʃ ɛ bː
idősek	i d øː ʃ ɛ k
időszak	i d øː s ɒ k
időszakban	i d øː s ɒ ɡ b ɒ n
időszaki	i d øː s ɒ k i
időszakokban	i d øː s ɒ k o ɡ b ɒ n
időszakot	i d øː s ɒ k o t
időszámítás	i d øː s aː m iː t aː ʃ
időt	i d øː t
időtartamra	i d øː t ɒ r t ɒ m r ɒ
idővel	i d øː v ɛ l
időzítés	i d øː z iː t eː ʃ
időzítések	i d øː z iː t eː ʃ ɛ k
ifjabb	i f j ɒ bː
ifjúsági	i f j uː ʃ aː ɡ i
igaza	i ɡ ɒ z ɒ
igazam	i ɡ ɒ z ɒ m
igazgató	i ɡ ɒ z ɡ ɒ t oː
igazgatója	i ɡ ɒ z ɡ ɒ t oː j ɒ
igazgatók	i ɡ ɒ z ɡ ɒ t oː k
igazgatóság	i ɡ ɒ z ɡ ɒ t oː ʃ aː ɡ
igazi	i ɡ ɒ z i
igazolvány	i ɡ ɒ z o l v aː ɲ
igazság	i ɡ ɒ ʃː aː ɡ
igazságosság	i ɡ ɒ ʃː aː ɡ o ʃː aː ɡ
igazságosságok	i ɡ ɒ ʃː aː ɡ o ʃː aː ɡ o k
igazságot	i ɡ ɒ ʃː aː ɡ o t
igazságszolgáltatás	i ɡ ɒ ʃː aː k s o l ɡ aː l t ɒ t aː ʃ
igazságügyi	i ɡ ɒ ʃː aː ɡ y ɟ i
igazából	i ɡ ɒ z aː b oː l
igazán	i ɡ ɒ z aː n
ige	i ɡ ɛ
igen	i ɡ ɛ n
igencsak	i ɡ ɛ n t͡ʃ ɒ k
igennel	i ɡ ɛ nː ɛ l
igyekezett	i ɟ ɛ k ɛ z ɛ tː
igyekszik	i ɟ ɛ k s i k
igék	i ɡ eː k
igényei	i ɡ eː ɲ ɛ j i
igényeihez	i ɡ eː ɲ ɛ j i ɦ ɛ z
igényeinek	i ɡ eː ɲ ɛ j i n ɛ k
igényel	i ɡ eː ɲ ɛ l
igényes	i ɡ eː ɲ ɛ ʃ
ihat	i ɦ ɒ t
illegális	i lː ɛ ɡ aː l i ʃ
illeszkedik	i lː ɛ s k ɛ d i k
illeti	i lː ɛ t i
illetékes	i lː ɛ t eː k ɛ ʃ
illetéktelen	i lː ɛ t eː k t ɛ l ɛ n
illető	i lː ɛ t øː
illetőleg	i lː ɛ t øː l ɛ ɡ
illik	i lː i k
illékony	i lː eː k o ɲ
illékonyabb	i lː eː k o ɲ ɒ bː
illúziók	i lː uː z i j oː k
ilona	i l o n ɒ
ilyen	i j ɛ n
ilyenek	i j ɛ n ɛ k
ilyenkor	i j ɛ ŋ k o r
ilyenként	i j ɛ ŋ k eː n t
ilyennel	i j ɛ nː ɛ l
ilyesmi	i j ɛ ʃ m i
ilyesmit	i j ɛ ʃ m i t
ilyet	i j ɛ t
immunrendszer	i mː u n r ɛ n t͡s ɛ r
immár	i mː aː r
immáron	i mː aː r o n
impozáns	i m p o z aː n ʃ
imre	i m r ɛ
ind	i n d
index	i n d ɛ k s
indexe	i n d ɛ k s ɛ
indexek	i n d ɛ k s ɛ k
indexen	i n d ɛ k s ɛ n
indiai	i n d i j ɒ j i
indokolta	i n d o k o l t ɒ
indul	i n d u l
indulat	i n d u l ɒ t
indulnak	i n d u l n ɒ k
indulni	i n d u l n i
indult	i n d u l t
indítvány	i n d iː t v aː ɲ
indítás	i n d iː t aː ʃ
infláció	i ɱ f l aː t͡s i j oː
inflációs	i ɱ f l aː t͡s i j oː ʃ
informatika	i ɱ f o r m ɒ t i k ɒ
informatikai	i ɱ f o r m ɒ t i k ɒ j i
információs	i ɱ f o r m aː t͡s i j oː ʃ
informális	i ɱ f o r m aː l i ʃ
infrastrukturális	i ɱ f r ɒ ʃ t r u k t u r aː l i ʃ
infrastruktúra	i ɱ f r ɒ ʃ t r u k t uː r ɒ
infó	i ɱ f oː
ingatag	i ŋ ɡ ɒ t ɒ ɡ
ingatlan	i ŋ ɡ ɒ t l ɒ n
ingatlanok	i ŋ ɡ ɒ t l ɒ n o k
ingatlant	i ŋ ɡ ɒ t l ɒ n t
inget	i ŋ ɡ ɛ t
ingyen	i ɲ ɟ ɛ n
ingyenes	i ɲ ɟ ɛ n ɛ ʃ
ingyenesen	i ɲ ɟ ɛ n ɛ ʃ ɛ n
inkább	i ŋ k aː bː
innen	i nː ɛ n
inni	i nː i
innovációs	i nː o v aː t͡s i j oː ʃ
integráció	i n t ɛ ɡ r aː t͡s i j oː
integrált	i n t ɛ ɡ r aː l t
intellektuális	i n t ɛ lː ɛ k t u aː l i ʃ
intenzív	i n t ɛ n z iː v
intenzíven	i n t ɛ n z iː v ɛ n
interaktív	i n t ɛ r ɒ k t iː v
interjú	i n t ɛ r j uː
interjúk	i n t ɛ r j uː k
interjút	i n t ɛ r j uː t
internetes	i n t ɛ r n ɛ t ɛ ʃ
intervallumok	i n t ɛ r v ɒ lː u m o k
intik	i n t i k
intim	i n t i m
intézet	i n t eː z ɛ t
intézetek	i n t eː z ɛ t ɛ k
intézkedés	i n t eː s k ɛ d eː ʃ
intézkedések	i n t eː s k ɛ d eː ʃ ɛ k
intézkedést	i n t eː s k ɛ d eː ʃ t
intézmény	i n t eː z m eː ɲ
intézményben	i n t eː z m eː ɲ b ɛ n
intézmények	i n t eː z m eː ɲ ɛ k
intézményeknek	i n t eː z m eː ɲ ɛ k n ɛ k
intézményi	i n t eː z m eː ɲ i
intézményrendszer	i n t eː z m eː ɲ r ɛ n t͡s ɛ r
intézményt	i n t eː z m eː ɲ t
intő	i n t øː
ipar	i p ɒ r
iparban	i p ɒ r b ɒ n
ipari	i p ɒ r i
ipart	i p ɒ r t
iparág	i p ɒ r aː ɡ
irat	i r ɒ t
iratok	i r ɒ t o k
irigykedik	i r i c k ɛ d i k
irigység	i r i c ʃ eː ɡ
irodalmi	i r o d ɒ l m i
irodája	i r o d aː j ɒ
irtják	i r c aː k
iránti	i r aː n t i
irány	i r aː ɲ
irányadó	i r aː ɲ ɒ d oː
irányelv	i r aː ɲ ɛ l v
irányul	i r aː ɲ u l
irányuló	i r aː ɲ u l oː
irányzat	i r aː ɲ z ɒ t
irányít	i r aː ɲ iː t
irányítani	i r aː ɲ iː t ɒ n i
irányítja	i r aː ɲ iː cː ɒ
irányítás	i r aː ɲ iː t aː ʃ
irányú	i r aː ɲ uː
irén	i r eː n
