aad	aː t
burggraaf	b ʏ r x r aː f
burundi	b u r u n d i
bushalte	b ʏ s ɦ ɑ l t ə
buslijn	b ʏ s l ɛ i̯ n
busstation	b ʏ s t aː ʃ ɔ n
buurland	b yː r l ɑ n t
buurman	b yː r m ɑ n
buurten	b yː r t ə n
buurthuis	b yː r t ɦ œ y̯ s
buurtschap	b yː r t s x ɑ p
buurvrouw	b yː r v r ɑ u̯
byzantijns	b i z ɑ n t ɛ i̯ n s
bühne	b yː n ə
cabaret	k aː b aː r ɛ t
cabaretier	k aː b aː r ɛ t j eː
cabine	k aː b i n ə
cabinepersoneel	k aː b i n ə p ɛ r s oː n eː l
cabriolet	k aː b r i oː l ɛ t
cacao	k ɑ k ɑ u̯
cadans	k aː d ɑ n s
cadeau	k a d oː
cadeaubon	k aː d oː b ɔ n
cafetaria	k aː f eː t aː r i aː
cafeïne	k aː f eː i n ə
café	k aː f eː
cake	k eː k
calamiteit	k aː l aː m i t ɛ i̯ t
calcium	k ɑ l s i ʏ m
californië	k aː l i f ɔ r n i ə
calvinisme	k ɑ l v i n ɪ s m ə
cambodja	k ɑ m b ɔ t j aː
camee	k aː m eː
camera	k aː m ə r aː
cameraploeg	k aː m ə r aː p l u x
cameratoezicht	k aː m ə r aː t u z ɪ x t
campagne	k ɑ m p ɑ n j ə
camper	k ɛ m p ə r
canada	k aː n aː d aː
candela	k ɑ n d eː l aː
cannabis	k ɑ n aː b ɪ s
canon	k aː n ɔ n
cantate	k ɑ n t aː t ə
canvas	k ɑ n v ɑ s
cao	s eː aː oː
capitool	k aː p i t oː l
capituleren	k aː p i t y l eː r ə n
capoeirista	k aː p u eː r i s t aː
caravan	k ɛ r ə v ɛ n
carbon	k ɑ r b ɔ n
carcinogeen	k ɑ r s i n oː ɣ eː n
cardioloog	k ɑ r d i oː l oː x
carillon	k aː r ɪ l j ɔ n
cariës	k aː r i ɛ s
carmen	k ɑ r m ə n
carnaval	k ɑ r n aː v ɑ l
carrière	k ɑ r i ɛː r ə
carrosserie	k ɑ r ɔ s ə r i
carrousel	k ɑ r u s ɛ l
carthago	k ɑ r t aː ɣ oː
cash	k ɛ ʃ
casino	k aː z i n oː
castratie	k ɑ s t r aː t s i
catalaans	k aː t aː l aː n s
catalogus	k aː t aː l oː ɣ ʏ s
catalonië	k aː t aː l oː n i ə
cataract	k aː t aː r ɑ k t
categorie	k ɑ t ə ɣ oː r i
categorisch	k ɑ t ə ɣ oː r i s
catheter	k aː t eː t ə r
cavia	k aː v i j aː
cd	s eː d eː
cda	s eː d eː aː
ceintuur	s ɛ n t yː r
cel	s ɛ l
celgenoot	s ɛ l ɣ ə n oː t
cell	s ɛ l
cellulose	s ɛ l y l oː z ə
celstraf	s ɛ l s t r ɑ f
cement	s ə m ɛ n t
censureren	s ɛ n z yː r eː r ə n
census	s ɛ n z ʏ s
centimeter	s ɛ n t i m eː t ə r
centraal	s ɛ n t r aː l
centrale	s ɛ n t r aː l ə
centralisatie	s ɛ n t r aː l i z aː t s i
centrum	s ɛ n t r ʏ m
centrumrechts	s ɛ n t r ʏ m r ɛ x t s
ceremonie	s eː r ə m oː n i
ceremoniemeester	s eː r ə m oː n i m eː s t ə r
certificaat	s ɛ r t i f i k aː t
certificeren	s ɛ r t i f i s eː r ə n
champagne	ʃ ɑ m p ɑ n j ə
champignon	ʃ ɑ m p i n j ɔ n
chanten	t ʃ ɑ n t ə n
chanteren	ʃ ɑ n t eː r ə n
chaos	x aː ɔ s
chaotisch	x aː oː t i s
chapeau	ʃ aː p oː
charisma	x aː r ɪ s m aː
charmant	ʃ ɑ r m ɑ n t
charmeren	ʃ ɑ r m eː r ə n
chat	t ʃ ɛ t
chatten	t ʃ ɛ t ə n
checken	t ʃ ɛ k ə n
chef	ʃ ɛ f
cheffin	ʃ ɛ f ɪ n
chemie	x eː m i
chemieconcern	x eː m i k ɔ n s ʏ r n
chemisch	x eː m i s
cheque	ʃ ɛ k
chic	ʃ i k
china	ʃ i n aː
chinchilla	t ʃ ɪ n t ʃ ɪ l aː
chinees	ʃ i n eː s
chinese	ʃ i n eː s ə
chinezen	ʃ i n eː z ə n
chip	t ʃ ɪ p
chirurgie	ʃ i r ʏ r ɣ i
chloor	x l oː r
chocolade	ʃ oː k oː l aː d ə
chocolademelk	ʃ oː k oː l aː d ə m ɛ l k
chocomel	ʃ oː k oː m ɛ l
cholera	x oː l ə r aː
chris	k r ɪ s
christa	k r ɪ s t aː
christendemocratie	k r ɪ s t ə n d eː m oː k r aː t s i
christiaan	k r ɪ s t i j aː n
christine	k r ɪ s t i n ə
chromosoom	x r oː m oː s oː m
chronisch	x r oː n i s
cijfer	s ɛ i f ə r
cilinder	s i l ɪ n d ə r
cimbaal	s ɪ m b aː l
circa	s ɪ r k aː
circuit	s ɪ r k ʋ i
circus	s ɪ r k ʏ s
circusartiest	s ɪ r k ʏ s ɑ r t i s t
cirkel	s ɪ r k ə l
citaat	s i t aː t
citer	s i t ə r
citroen	s i t r u n
citroensap	s i t r u n s ɑ p
clan	k l ɛ n
classis	k l ɑ s ɪ s
clausule	k l ɑ u̯ z y l ə
cliché	k l i ʃ eː
client	k l ɑ i̯ ə n t
clown	k l ɑ u̯ n
club	k l ʏ p
clubhuis	k l ʏ p ɦ œ y̯ s
cnv	s eː ɛ n v eː
co	k oː
coach	k oː t ʃ
coalitie	k oː aː l i t s i
cobra	k oː b r aː
cocaïne	k oː k aː i n ə
cocktail	k ɔ k t eː l
code	k oː d ə
codering	k oː d eː r ɪ ŋ
coen	k u n
coevorden	k u v ɔ r d ə n
coffeeshop	k ɔ f i ʃ ɔ p
cognitief	k ɔ x n i t i f
col	k ɔ l
cola	k oː l aː
collaboratie	k ɔ l aː b oː r aː t s i
collageen	k ɔ l aː ɣ eː n
collatierecht	k ɔ l aː t s i r ɛ x t
collectie	k ɔ l ɛ k s i
collectief	k ɔ l ɛ k t i f
collega	k ɔ l eː ɣ aː
college	k ɔ l eː ʒ ə
collegezaal	k ɔ l eː ʒ ə z aː l
colombia	k oː l ɔ m b i aː
colonne	k oː l ɔ n ə
combi	k ɔ m b i
comeback	k ɑ m b ɛ k
comité	k ɔ m i t eː
commentaar	k ɔ m ɛ n t aː r
commercie	k ɔ m ɛ r s i
commissie	k ɔ m ɪ s i
commotie	k ɔ m oː t s i
communicatie	k ɔ m y n i k aː t s i
communicatiemiddel	k ɔ m y n i k aː t s i m ɪ d ə l
communiceren	k ɔ m y n i s eː r ə n
communie	k ɔ m y n i
communistisch	k ɔ m y n ɪ s t i s
compact	k ɔ m p ɑ k t
compagnie	k ɔ m p ɑ n j i
compensatie	k ɔ m p ɛ n z aː t s i
compenseren	k ɔ m p ɛ n z eː r ə n
competent	k ɔ m p ə t ɛ n t
compleet	k ɔ m p l eː t
completeren	k ɔ m p l eː t eː r ə n
complex	k ɔ m p l ɛ k s
complexiteit	k ɔ m p l ɛ k s i t ɛ i̯ t
compliment	k ɔ m p l i m ɛ n t
component	k ɔ m p oː n ɛ n t
componeren	k ɔ m p oː n eː r ə n
componist	k ɔ m p oː n ɪ s t
compositie	k ɔ m p oː z i t s i
compost	k ɔ m p ɔ s t
compressie	k ɔ m p r ɛ s i
computer	k ɔ m p j u t ə r
computerprogramma	k ɔ m p j u t ə r p r oː ɣ r ɑ m aː
computerspel	k ɔ m p j u t ə r s p ɛ l
concentratiekamp	k ɔ n s ɛ n t r aː t s i k ɑ m p
concentreren	k ɔ n s ɛ n t r eː r ə n
concept	k ɔ n s ɛ p t
concern	k ɔ n s ʏ r n
concert	k ɔ n s ɛ r t
concilie	k ɔ n s i l i
conciërge	k ɔ n ʒ ɛ r ʒ ə
concluderen	k ɔ ŋ k l y d eː r ə n
concreet	k ɔ ŋ k r eː t
concurrentie	k ɔ ŋ k y r ɛ n t s i
conditie	k ɔ n d i t s i
condoleren	k ɔ n d oː l eː r ə n
condoom	k ɔ n d oː m
confederaal	k ɔ n f eː d ə r aː l
confederalisme	k ɔ n f eː d ə r aː l ɪ s m ə
conflict	k ɔ n f l ɪ k t
conflictstof	k ɔ n f l ɪ k t s t ɔ f
confrater	k ɔ n f r aː t ə r
confronteren	k ɔ n f r ɔ n t eː r ə n
congres	k ɔ ŋ ɣ r ɛ s
congruent	k ɔ ŋ ɣ r y ɛ n t
conisch	k oː n i s
consequent	k ɔ n s ə k ʋ ɛ n t
conservatief	k ɔ n z ɛ r v aː t i f
conservatisme	k ɔ n z ɛ r v aː t ɪ s m ə
conservator	k ɔ n z ɛ r v aː t ɔ r
conserven	k ɔ n z ɛ r v ə n
constant	k ɔ n s t ɑ n t
constante	k ɔ n s t ɑ n t ə
constantijn	k ɔ n s t ɑ n t ɛ i̯ n
constateren	k ɔ n s t aː t eː r ə n
constructie	k ɔ n s t r ʏ k s i
constructief	k ɔ n s t r ʏ k t i f
consument	k ɔ n z y m ɛ n t
consumptie	k ɔ n z ʏ m p s i
consumptiemaatschappij	k ɔ n z ʏ m p s i m aː t s x ɑ p ɛ i̯
contact	k ɔ n t ɑ k t
contactlens	k ɔ n t ɑ k t l ɛ n s
contactpersoon	k ɔ n t ɑ k t p ɛ r s oː n
container	k ɔ n t eː n ə r
contant	k ɔ n t ɑ n t
context	k ɔ n t ɛ k s t
continu	k ɔ n t i n y
contract	k ɔ n t r ɑ k t
contrast	k ɔ n t r ɑ s t
controleren	k ɔ n t r oː l eː r ə n
controller	k ɔ n t r ɔ l ə r
controverse	k ɔ n t r oː v ɛ r z ə
convenant	k ɔ n v ə n ɑ n t
conventie	k ɔ n v ɛ n s i
conversie	k ɔ n v ɛ r s i
cookie	k u k i
cool	k uː l
cor	k ɔ r
cornelia	k ɔ r n eː l i aː
cornelis	k ɔ r n eː l ɪ s
corps	k oː r
corpus	k ɔ r p ʏ s
correct	k ɔ r ɛ k t
correctie	k ɔ r ɛ k s i
corrie	k ɔ r i
corrumperen	k ɔ r ʏ m p eː r ə n
corrupt	k ɔ r ʏ p t
cortège	k ɔ r t ɛː ʒ ə
coulisselandschap	k u l i z ə l ɑ n t s x ɑ p
counter	k ɑ u̯ n t ə r
coureur	k u r øː r
coördinaten	k oː ɔ r d i n aː t ə n
coördinator	k oː ɔ r d i n aː t ɔ r
creatie	k r eː j aː t s i
credo	k r eː d oː
crematorium	k r eː m aː t oː r i ʏ m
cricket	k r ɪ k ə t
criminaliteit	k r i m i n aː l i t ɛ i̯ t
crimineel	k r i m i n eː l
crisis	k r i z ɪ s
criterium	k r i t eː r i ʏ m
cruise	k r uː s
cruiseschip	k r uː s s x ɪ p
cruyff	k r œ y̯ f
crèmekleurig	k r ɛː m k l øː r ə x
cuba	k y b aː
cuijk	k œ y̯ k
culemborg	k y l ə m b ɔ r x
cultureel	k ʏ l t y r eː l
cultuur	k ʏ l t y r
curatele	k y r aː t eː l ə
curator	k y r aː t ɔ r
curatoren	k y r aː t oː r ə n
curry	k ʏ r i
cursist	k ʏ r s ɪ s t
cursus	k ʏ r s ʏ s
cv	s eː v eː
cyclisch	s i k l i s
cycloon	s i k l oː n
cyclus	s i k l ʏ s
cynisme	s i n ɪ s m ə
cyprus	s i p r ʏ s
daad	d aː t
daag	d aː x
daags	d aː x s
daalder	d aː l d ə r
daan	d aː n
daar	d aː r
daaraan	d aː r aː n
daarachter	d aː r ɑ x t ə r
daarbij	d aː r b ɛ i̯
daarboven	d aː r b oː v ə n
daardoor	d aː r d oː r
daarheen	d aː r ɦ eː n
daarin	d aː r ɪ n
daarmee	d aː r m eː
daarna	d aː r n aː
daarnaar	d aː r n aː r
daarnaast	d aː r n aː s t
daarnet	d aː r n ɛ t
daaro	d aː r oː
daarom	d aː r ɔ m
daaromheen	d aː r ɔ m ɦ eː n
daaronder	d aː r ɔ n d ə r
daarover	d aː r oː v ə r
daaroverheen	d aː r oː v ə r ɦ eː n
daartegen	d aː r t eː ɣ ə n
daartegenover	d aː r t eː ɣ ə n oː v ə r
daarvan	d aː r v ɑ n
daarvandaan	d aː r v ɑ n d aː n
daarvoor	d aː r v oː r
dada	d aː d aː
dadelijk	d aː d ə l ə k
dadendrang	d aː d ə n d r ɑ ŋ
dader	d aː d ə r
dag	d ɑ x
dagblad	d ɑ x b l ɑ t
dagboek	d ɑ x b u k
dagdeel	d ɑ x d eː l
dagelijks	d aː ɣ ə l ə k s
dagen	d aː ɣ ə n
dagenlang	d aː ɣ ə n l ɑ ŋ
dageraad	d aː ɣ ə r aː t
daglicht	d ɑ x l ɪ x t
dagvaarden	d ɑ x f aː r d ə n
dagvaarding	d ɑ x f aː r d ɪ ŋ
dak	d ɑ k
dakdekker	d ɑ k d ɛ k ə r
dakkapel	d ɑ k aː p ɛ l
dakkoffer	d ɑ k ɔ f ə r
dal	d ɑ l
dalen	d aː l ə n
daling	d aː l ɪ ŋ
dam	d ɑ m
damascus	d aː m ɑ s k ʏ s
dame	d aː m ə
dammen	d ɑ m ə n
dammer	d ɑ m ə r
damsteen	d ɑ m s t eː n
dan	d ɑ n
danig	d aː n ə x
daniël	d aː n i j ɛ l
dankbaar	d ɑ ŋ k b aː r
dankbaarheid	d ɑ ŋ k b aː r ɦ ɛ i t
dankjewel	d ɑ ŋ k j ə ʋ ɛ l
danklied	d ɑ ŋ k l i t
dankzegging	d ɑ ŋ k s ɛ ɣ ɪ ŋ
dans	d ɑ n s
dansen	d ɑ n s ə n
danseres	d ɑ n s ə r ɛ s
dantumadeel	d ɑ n t y m aː d eː l
dapper	d ɑ p ə r
dapperheid	d ɑ p ə r ɦ ɛ i̯ t
darm	d ɑ r m
darmflora	d ɑ r m f l oː r aː
darmkanker	d ɑ r m k ɑ ŋ k ə r
dartelen	d ɑ r t ə l ə n
daslook	d ɑ s l oː k
dassen	d ɑ s ə n
dat	d ɑ t
databank	d aː t aː b ɑ ŋ k
date	d eː t
daten	d eː t ə n
datering	d aː t eː r ɪ ŋ
dato	d aː t oː
datum	d aː t ʏ m
datzelfde	d ɑ t s ɛ l f d ə
dauwpunt	d ɑ u̯ p ʏ n t
david	d aː v ɪ t
ddr	d eː d eː ɛ r
de	d ə
deal	d iː l
debiteur	d eː b i t øː r
debutante	d eː b y t ɑ n t ə
decaan	d eː k aː n
decennium	d eː s ɛ n i ʏ m
decentralisatie	d eː s ɛ n t r aː l i z aː t s i
decentralisering	d eː s ɛ n t r aː l i z eː r ɪ ŋ
deceptie	d eː s ɛ p s i
declareren	d eː k l aː r eː r ə n
decor	d eː k ɔ r
decoratie	d eː k oː r aː t s i
decoreren	d eː k oː r eː r ə n
deden	d eː d ə n
deed	d eː t
deeg	d eː x
deel	d eː l
deelgemeente	d eː l ɣ ə m eː n t ə
deelgenoot	d eː l ɣ ə n oː t
deelname	d eː l n aː m ə
deelneemster	d eː l n eː m s t ə r
deelnemen	d eː l n eː m ə n
deelnemer	d eː l n eː m ə r
deelneming	d eː l n eː m ɪ ŋ
deelstaat	d eː l s t aː t
deeltijds	d eː l t ɛ i̯ t s
deen	d eː n
deerlijk	d eː r l ə k
deerniswekkend	d eː r n ɪ s ʋ ɛ k ə n t
defect	d eː f ɛ k t
defensief	d eː f ɛ n s i f
defilé	d eː f i l eː
definitie	d eː f i n i t s i
definitief	d eː f i n i t i f
degelijk	d eː ɣ ə l ə k
degene	d ə ɣ eː n ə
dehaene	d ə ɦ aː n ə
deining	d ɛ i̯ n ɪ ŋ
dek	d ɛ k
dekbed	d ɛ k b ɛ t
deken	d eː k ə n
dekken	d ɛ k ə n
dekking	d ɛ k ɪ ŋ
dekmantel	d ɛ k m ɑ n t ə l
deksel	d ɛ k s ə l
del	d ɛ l
delen	d eː l ə n
delft	d ɛ l f t
delfts	d ɛ l f t s
delfzijl	d ɛ l f z ɛ i̯ l
delgen	d ɛ l ɣ ə n
delta	d ɛ l t aː
demagogisch	d eː m aː ɣ oː ɣ i s
dementie	d eː m ɛ n t s i
democraat	d eː m oː k r aː t
democratie	d eː m oː k r aː t s i
democratisch	d eː m oː k r aː t i s
democratiseren	d eː m oː k r aː t i s eː r ə n
demonstratie	d eː m ɔ n s t r aː t s i
demonstratief	d eː m ɔ n s t r aː t i f
demonstreren	d eː m ɔ n s t r eː r ə n
dempen	d ɛ m p ə n
demper	d ɛ m p ə r
dendermonde	d ɛ n d ə r m ɔ n d ə
denemarken	d eː n ə m ɑ r k ə n
denkbaar	d ɛ ŋ k b aː r
denktank	d ɛ ŋ k t ɛ ŋ k
denominatie	d eː n oː m i n aː t s i
deo	d eː j oː
deportatie	d eː p ɔ r t aː t s i
deporteren	d eː p ɔ r t eː r ə n
depot	d eː p oː
depressief	d eː p r ɛ s i f
depri	d eː p r i
derde	d ɛ r d ə
deregulering	d eː r eː ɣ y l eː r ɪ ŋ
dergelijk	d ɛ r ɣ ə l ə k
derhalve	d ɛ r ɦ ɑ l v ə
dermate	d ɛ r m aː t ə
dertien	d ɛ r t i n
desbetreffend	d ɛ s b ə t r ɛ f ə n t
desgevraagd	d ɛ s x ə v r aː x t
desgewenst	d ɛ s x ə ʋ ɛ n s t
desinfecteren	d ɛ s ɪ n f ɛ k t eː r ə n
desiree	d eː z i r eː
desktop	d ɛ s k t ɔ p
deskundig	d ɛ s k ʏ n d ə x
deskundige	d ɛ s k ʏ n d ə ɣ ə
desnoods	d ɛ s n oː t s
desondanks	d ɛ s ɔ n d ɑ ŋ k s
desoriëntatie	d ɛ s oː r i ɛ n t aː t s i
desoriënteren	d ɛ z oː r i ɛ n t eː r ə n
destijds	d ɛ s t ɛ i̯ t s
detail	d eː t ɑ i̯
detailhandel	d eː t ɑ i̯ ɦ ɑ n d ə l
detecteren	d eː t ɛ k t eː r ə n
deugdelijk	d øː x d ə l ə k
deuk	d øː k
deuken	d øː k ə n
deur	d øː r
deurne	d øː r n ə
deva	d eː v aː
deze	d eː z ə
dezelfde	d ə z ɛ l f d ə
dezen	d eː z ə n
dia	d i aː
diabetes	d i aː b eː t ə s
diaconie	d i aː k oː n i
dialect	d i j aː l ɛ k t
dialectgroep	d i aː l ɛ k t x r u p
diamant	d i aː m ɑ n t
diameter	d i aː m eː t ə r
diarree	d i ɑ r eː
diastole	d i aː s t oː l ə
dicht	d ɪ x t
dichtader	d ɪ x t aː d ə r
dichtbij	d ɪ x t b ɛ i̯
dichtdoen	d ɪ x t d u n
dichten	d ɪ x t ə n
dichter	d ɪ x t ə r
dichteres	d ɪ x t ə r ɛ s
dichtheid	d ɪ x t ɦ ɛ i̯ t
dictator	d ɪ k t aː t ɔ r
dictatuur	d ɪ k t aː t yː r
dictee	d i k t eː
dieet	d i j eː t
dief	d i f
diefstal	d i f s t ɑ l
diegene	d i ɣ eː n ə
dien	d i n
dienaar	d i n aː r
dienen	d i n ə n
diens	d i n s
dienst	d i n s t
dienstensector	d i n s t ə n s ɛ k t ɔ r
dienstplicht	d i n s t p l ɪ x t
dienstrooster	d i n s t r oː s t ə r
diep	d i p
diepen	d i p ə n
diepgaand	d i p x aː n t
diepgang	d i p x ɑ ŋ
diepte	d i p t ə
dieptepunt	d i p t ə p ʏ n t
dier	d i r
dierbaar	d iː r b aː r
dierenarts	d iː r ə n ɑ r t s
dierenbescherming	d iː r ə n b ə s x ɛ r m ɪ ŋ
dierenhuid	d iː r ə n ɦ œ y̯ t
dierenleed	d iː r ə n l eː t
dierenpark	d iː r ə n p ɑ r k
dierenrijk	d iː r ə n r ɛ i̯ k
dierenwelzijn	d iː r ə n ʋ ɛ l z ɛ i̯ n
diergaarde	d iː r ɣ aː r d ə
diersoort	d iː r s oː r t
diesel	d i z ə l
digitaal	d i ɣ i t aː l
dijk	d ɛ i̯ k
dijkstra	d ɛ i̯ k s t r aː
dijle	d ɛ i̯ l ə
dik	d ɪ k
dikke	d ɪ k ə
dilemma	d i l ɛ m aː
dimensie	d i m ɛ n s i
diner	d i n eː
ding	d ɪ ŋ
dinsdag	d ɪ n s d ɑ x
dinsdagmorgen	d ɪ n s d ɑ x m ɔ r ɣ ə n
diploma	d i p l oː m aː
direct	d i r ɛ k t
directeur	d i r ɛ k t øː r
directie	d i r ɛ k s i
directrice	d i r ɛ k t r i s ə
dirigeren	d i r i ɣ eː r ə n
dirk	d ɪ r k
dis	d ɪ s
disco	d ɪ s k oː
discotheek	d ɪ s k oː t eː k
discours	d ɪ s k uː r
discreet	d ɪ s k r eː t
discretie	d ɪ s k r eː t s i
discriminatie	d ɪ s k r i m i n aː t s i
discrimineren	d ɪ s k r i m i n eː r ə n
discus	d ɪ s k ʏ s
discussie	d ɪ s k ʏ s i
diskette	d ɪ s k ɛ t ə
display	d ɪ s p l eː
dispuut	d ɪ s p y t
dissertatie	d ɪ s ɛ r t aː t s i
district	d ɪ s t r ɪ k t
dit	d ɪ t
diversen	d i v ɛ r z ə n
diversiteit	d i v ɛ r z i t ɛ i̯ t
divisie	d i v i z i
djembé	d ʒ ɛ m b eː
do	d oː
dobber	d ɔ b ə r
docent	d oː s ɛ n t
doch	d ɔ x
dochter	d ɔ x t ə r
doctor	d ɔ k t ɔ r
doctoraat	d ɔ k t oː r aː t
document	d oː k y m ɛ n t
documentatie	d oː k y m ɛ n t aː t s i
dode	d oː d ə
dodelijk	d oː d ə l ə k
doden	d oː d ə n
dodental	d oː d ə n t ɑ l
doedelzak	d u d ə l z ɑ k
doedens	d u d ə n s
doei	d u i̯
doek	d u k
doeken	d u k ə n
doel	d u l
doeleinde	d u l ɛ i̯ n d ə
doelen	d u l ə n
doelloos	d u l l oː s
doelmatig	d u l m aː t ə x
doelpunt	d u l p ʏ n t
doelstelling	d u l s t ɛ l ɪ ŋ
doeltreffend	d u l t r ɛ f ə n t
doelwit	d u l ʋ ɪ t
doemen	d u m ə n
does	d u s
doesburg	d u s b ʏ r x
doetinchem	d u t ɪ ŋ x ɛ m
doezelen	d u z ə l ə n
dokken	d ɔ k ə n
dokter	d ɔ k t ə r
dokwerker	d ɔ k ʋ ɛ r k ə r
dol	d ɔ l
dollar	d ɔ l ɑ r
dollen	d ɔ l ə n
domein	d oː m ɛ i̯ n
domheid	d ɔ m ɦ ɛ i̯ t
dominant	d oː m i n ɑ n t
dominee	d oː m i n eː
dommel	d ɔ m ə l
dommelen	d ɔ m ə l ə n
dompelen	d ɔ m p ə l ə n
donau	d oː n ɑ u̯
donder	d ɔ n d ə r
donderdag	d ɔ n d ə r d ɑ x
donderdagmorgen	d ɔ n d ə r d ɑ x m ɔ r ɣ ə n
donderdagochtend	d ɔ n d ə r d ɑ x ɔ x t ə n t
donderdagsochtends	d ɔ n d ə r d ɑ x s ɔ x t ə n t s
donderslag	d ɔ n d ə r s l ɑ x
doneren	d oː n eː r ə n
dongeradeel	d ɔ ŋ ə r aː d eː l
donk	d ɔ ŋ k
donker	d ɔ ŋ k ə r
donkerblauw	d ɔ ŋ k ə r b l ɑ u̯
donkerbruin	d ɔ ŋ k ə r b r œ y̯ n
donkergrijs	d ɔ ŋ k ə r ɣ r ɛ i̯ s
donor	d oː n ɔ r
donororgaan	d oː n ɔ r ɔ r ɣ aː n
dood	d oː t
dooddoener	d oː t d u n ə r
doodgaan	d oː t x aː n
doodmoe	d oː t m u
doodsbang	d oː t s b ɑ ŋ
doodslag	d oː t s l ɑ x
doodsoorzaak	d oː t s oː r z aː k
doodstraf	d oː t s t r ɑ f
doof	d oː f
doofpot	d oː f p ɔ t
dooi	d oː i̯
dooie	d oː i̯ ə
dooien	d oː i̯ ə n
doopsgezinde	d oː p s x ə z ɪ n d ə
door	d oː r
doorbrengen	d oː r b r ɛ ŋ ə n
doordat	d oː r d ɑ t
doordenken	d oː r d ɛ ŋ k ə n
doordeweeks	d oː r d ə ʋ eː k s
doordringen	d oː r d r ɪ ŋ ə n
doorgaan	d oː r ɣ aː n
doorgaans	d oː r ɣ aː n s
doorgang	d oː r ɣ ɑ ŋ
doorgedraaid	d oː r ɣ ə d r aː i̯ t
doorgeven	d oː r ɣ eː v ə n
doorgronden	d oː r ɣ r ɔ n d ə n
doorheen	d oː r ɦ eː n
doorkruisen	d oː r k r œ y̯ s ə n
doorlaten	d oː r l aː t ə n
doorlatend	d oː r l aː t ə n t
doorloop	d oː r l oː p
doorloopt	d oː r l oː p t
doorlopend	d oː r l oː p ə n t
doornbos	d oː r n b ɔ s
doornik	d oː r n ɪ k
doorscheuren	d oː r s x øː r ə n
doorslag	d oː r s l ɑ x
doorslaggevend	d oː r s l ɑ x ɣ eː ə v n t
doorsnede	d oː r s n eː d ə
doorsnee	d oː r s n eː
doorsnijden	d oː r s n ɛ i̯ d ə n
doorstart	d oː r s t ɑ r t
doorsturen	d oː r s t yː r ə n
doortastend	d oː r t ɑ s t ə n t
doortocht	d oː r t ɔ x t
doortrekken	d oː r t r ɛ k ə n
doorwerken	d oː r ʋ ɛ r k ə n
doorzetten	d oː r z ɛ t ə n
doorzichtig	d oː r z ɪ x t ə x
doorzichtigheid	d oː r z ɪ x t ə x ɦ ɛ i̯ t
doorzien	d oː r z i n
doorzoeken	d oː r z u k ə n
doos	d oː s
dop	d ɔ p
doper	d oː p ə r
doping	d oː p ɪ ŋ
doppen	d ɔ p ə n
dordrecht	d ɔ r d r ɛ x t
dordt	d ɔ r t
dorp	d ɔ r p
dorpsgezicht	d ɔ r p s x ə z ɪ x t
dorpshuis	d ɔ r p s ɦ œ y̯ s
dorpskerk	d ɔ r p s k ɛ r k
dorpsplein	d ɔ r p s p l ɛ i̯ n
dorpsstraat	d ɔ r p s t r aː t
dorst	d ɔ r s t
dos	d ɔ s
dosering	d oː z eː r ɪ ŋ
dosis	d oː z ɪ s
dot	d ɔ t
dove	d oː v ə
doven	d oː v ə n
down	d ɑ u̯ n
download	d ɑ u̯ n l oː t
downloaden	d ɑ u̯ n l oː d ə n
draadloos	d r aː t l oː s
draag	d r aː x
draagkracht	d r aː x k r ɑ x t
draagt	d r aː x t
draagvlak	d r aː x f l ɑ k
draaiboek	d r aː i̯ b u k
draaierigheid	d r aː i̯ ə r ə x ɦ ɛ i̯ t
draaisnelheid	d r aː i̯ s n ɛ l ɦ ɛ i̯ t
draak	d r aː k
dracht	d r ɑ x t
draf	d r ɑ f
dragen	d r aː ɣ ə n
drager	d r aː ɣ ə r
drama	d r aː m aː
drammen	d r ɑ m ə n
drang	d r ɑ ŋ
drank	d r ɑ ŋ k
draperie	d r aː p ə r i
drastisch	d r ɑ s t i s
draven	d r aː v ə n
dreigement	d r ɛ i̯ ɣ ə m ɛ n t
dreigen	d r ɛ i̯ ɣ ə n
drenkeling	d r ɛ ŋ k ə l ɪ ŋ
drenthe	d r ɛ n t ə
drents	d r ɛ n t s
driecilinder	d r i s i l ɪ n d ə r
driehoek	d r i ɦ u k
driehoekig	d r i ɦ u k ə x
driehonderd	d r i ɦ ɔ n d ə r t
driejarig	d r i j aː r ə x
driekwart	d r i k ʋ ɑ r t
drieluik	d r i l œ y̯ k
driemaal	d r i m aː l
driepoot	d r i p oː t
driessen	d r i s ə n
drietal	d r i t ɑ l
drievoudig	d r i v ɑ u̯ d ə x
drift	d r ɪ f t
driftig	d r ɪ f t ə x
drijfveer	d r ɛ i̯ f eː r
drilmeester	d r ɪ l m eː s t ə r
dringen	d r ɪ ŋ ə n
dringend	d r ɪ ŋ ə n t
drink	d r ɪ ŋ k
drinkt	d r ɪ ŋ k t
droeg	d r u x
droge	d r oː ɣ ə
drogen	d r oː ɣ ə n
drol	d r ɔ l
drom	d r ɔ m
dromen	d r oː m ə n
dronk	d r ɔ ŋ k
dronken	d r ɔ ŋ k ə n
dronkenlap	d r ɔ ŋ k ə l ɑ p
dronkenschap	d r ɔ ŋ k ə n s x ɑ p
droog	d r oː x
droogstoppel	d r oː x s t ɔ p ə l
droogte	d r oː x t ə
droom	d r oː m
drop	d r ɔ p
drugsbeleid	d r ʏ ɡ s b ə l ɛ i̯ t
druilmast	d r œ y̯ l m ɑ s t
