ᆯ지	ʎ t͡ɕ͈ i
대접하다	t ɛː d͡ʑ ʌ̹ pʰ a̠ d a̠
대주교	t ɛː d͡ʑ u ɡ j o
대중	t ɛː d͡ʑ u ŋ
대중교통	t ɛː d͡ʑ u ŋ ɡ j o tʰ o̞ ŋ
대중문화	t ɛː d͡ʑ u ŋ m u n β w a̠
대중음악	t ɛː d͡ʑ u ŋ ɯ m a̠ k̚
대지	t ɛː d͡ʑ i
대체로	t ɛː t͡ɕʰ e̞ ɾ o̞
대출	t ɛː t͡ɕʰ u ɭ
대충	t ɛː t͡ɕʰ u ŋ
대치	t ɛː t͡ɕʰ i
대퇴	t ɛː tʰ w e̞
대포	t ɛː pʰ o̞
대폭적	t ɛː pʰ o̞ k̚ t͡ɕ͈ ʌ̹ k̚
대표	t ɛː pʰ j o
대표단	t ɛː pʰ j o d a̠ n
대표적	t ɛː pʰ j o d͡ʑ ʌ̹ k̚
대학	t ɛː ɦ a̠ k̚
대학교	t ɛː ɦ a̠ k̚ k͈ j o
대학수학능력시험	t ɛː ɦ a̠ k s͈ u ɦ a̠ ŋ n ɯ ŋ ɲ j ʌ̹ k ɕ͈ i ɦ ʌ̹ m
대학원	t ɛː ɦ a̠ ɡ w ʌ̹ n
대한민국	t ɛː ɦ a̠ n m i n ɡ u k̚
대한제국	t ɛː ɦ a̠ ɲ d͡ʑ e̞ ɡ u k̚
대합실	t ɛː ɦ a̠ p ɕ͈ i ɭ
대회	t ɛː β w e̞
더듬다	t ʌ̹ d ɯ m t͈ a̠
더듬이	t ʌ̹ d ɯ m i
더러워지다	t ɘː ɾ ʌ̹ w ʌ̹ d͡ʑ i d a̠
더럽다	t ɘː ɾ ʌ̹ p̚ t͈ a̠
더미	t ʌ̹ m i
더불다	t ʌ̹ b u ɭ d a̠
더불어	t ʌ̹ b u ɾ ʌ̹
더블린	t ʌ̹ b ɯ ʎ ʎ i n
더빙	t ʌ̹ b i ŋ
더욱	t ʌ̹ u k̚
더욱이	t ʌ̹ u ɡ i
더위	t ʌ̹ ɥ i
더위팔기	t ʌ̹ ɥ i pʰ a̠ ɭ ɡ i
더하기	t ʌ̹ ɦ a̠ ɡ i
더하다	t ʌ̹ ɦ a̠ d a̠
덕분	t ʌ̹ k̚ p͈ u n
덕트	t ʌ̹ k̚ tʰ ɯ
던데	t ʌ̹ n d e̞
던지다	t ʌ̹ ɲ d͡ʑ i d a̠
던지럽다	t ɘː ɲ d͡ʑ i ɾ ʌ̹ p̚ t͈ a̠
덧글	t ʌ̹ t̚ k͈ ɯ ɭ
덧머리	t ʌ̹ n m ʌ̹ ɾ i
덩어리	t ʌ̹ ŋ ʌ̹ ɾ i
덮이다	t ʌ̹ pʰ i d a̠
데릴사위	t e̞ ɾ i ɭ s͈ a̠ ɥ i
데모	t e̞ m o̞
데이터	t e̞ i tʰ ʌ̹
데이터베이스	t e̞ i tʰ ʌ̹ b e̞ i sʰ ɯ
데이트	t e̞ i tʰ ɯ
덴마크	t e̞ n m a̠ k x ɯ
덴마크어	t e̞ n m a̠ k x ɯ ʌ̹
덴뿌라	t e̞ n p͈ u ɾ a̠
델리	t e̞ ʎ ʎ i
도가니	t o̞ ɡ a̠ n i
도교	t o̞ː ɡ j o
도구	t o̞ː ɡ u
도금	t o̞ː ɡ ɯ m
도기	t o̞ ɡ i
도꾜	t o̞ k͈ j o
도끼	t o̞ k͈ i
도난	t o̞ n a̠ n
도넛	t o̞ n ʌ̹ t̚
도다리	t o̞ d a̠ ɾ i
도달	t o̞ː d a̠ ɭ
도달하다	t o̞ː d a̠ ɾ ɦ a̠ d a̠
도덕	t o̞ː d ʌ̹ k̚
도도마	t o̞ d o̞ m a̠
도둑	t o̞ d u k̚
도랑	t o̞ ɾ a̠ ŋ
도로	t o̞ː ɾ o̞
도료	t o̞ ɾ j o
도루	t o̞ ɾ u
도륙	t o̞ ɾ j u k̚
도리어	t o̞ ɾ i ʌ̹
도망	t o̞ m a̠ ŋ
도망치다	t o̞ m a̠ ŋ t͡ɕʰ i d a̠
도메인	t o̞ m e̞ i n
도모	t o̞ m o̞
도모하다	t o̞ m o̞ ɦ a̠ d a̠
도미니카	t o̞ m i n i kʰ a̠
도박	t o̞ b a̠ k̚
도벽	t o̞ b j ʌ̹ k̚
도시	t o̞ ɕʰ i
도시락	t o̞ ɕʰ i ɾ a̠ k̚
도예	t o̞ j e̞
도우미	t o̞ u m i
도움	t o̞ u m
도입	t o̞ː i p̚
도입부	t o̞ i p̚ p͈ u
도자기	t o̞ d͡ʑ a̠ ɡ i
도작	t o̞ d͡ʑ a̠ k̚
도장	t o̞ d͡ʑ a̠ ŋ
도저히	t o̞ː d͡ʑ ʌ̹ ʝ i
도적	t o̞ d͡ʑ ʌ̹ k̚
도전	t o̞ d͡ʑ ʌ̹ n
도청	t o̞ː t͡ɕʰ ʌ̹ ŋ
도청기	t o̞ t͡ɕʰ ʌ̹ ŋ ɡ i
도체	t o̞ː t͡ɕʰ e̞
도파민	t o̞ pʰ a̠ m i n
도표	t o̞ pʰ j o
도하	t o̞ ɦ a̠
도회인	t o̞ β w e̞ i n
독감	t o̞ k̚ k͈ a̠ m
독극물	t o̞ k̚ k͈ ɯ ŋ m u ɭ
독도	t o̞ k̚ t͈ o̞
독립	t o̞ ŋ n i p̚
독립성	t o̞ ŋ n i p s͈ ʌ̹ ŋ
독물	t o̞ ŋ m u ɭ
독방	t o̞ k̚ p͈ a̠ ŋ
독사	t o̞ k s͈ a̠
독살	t o̞ k s͈ a̠ ɭ
독서	t o̞ k s͈ ʌ̹
독서실	t o̞ k s͈ ʌ̹ ɕʰ i ɭ
독소	t o̞ k s͈ o̞
독수리	t o̞ k s͈ u ɾ i
독신	t o̞ k ɕ͈ i n
독신자	t o̞ k ɕ͈ i ɲ d͡ʑ a̠
독음	t o̞ ɡ ɯ m
독일	t o̞ ɡ i ɭ
독일어	t o̞ ɡ i ɾ ʌ̹
독자	t o̞ k̚ t͡ɕ͈ a̠
독점	t o̞ k̚ t͡ɕ͈ ʌ̹ m
독주	t o̞ k̚ t͡ɕ͈ u
독특하다	t o̞ k̚ tʰ ɯ kʰ a̠ d a̠
돋다	t o̞ t̚ t͈ a̠
돋보기	t o̞ t̚ p͈ o̞ ɡ i
돌격	t o̞ ɭ ɡ j ʌ̹ k̚
돌고기	t o̞ ɭ ɡ o̞ ɡ i
돌돔	t o̞ː ɭ d o̞ m
돌드	t o̞ ɭ d ɯ
돌리다	t o̞ ʎ ʎ i d a̠
돌멩이	t o̞ː ɭ m e̞ ŋ i
돌보다	t o̞ː ɭ b o̞ d a̠
돌상어	t o̞ ɭ sʰ a̠ ŋ ʌ̹
돌솥	t o̞ː ɭ sʰ o̞ t̚
돌아가다	t o̞ ɾ a̠ ɡ a̠ d a̠
돌아가시다	t o̞ ɾ a̠ ɡ a̠ ɕʰ i d a̠
돌아오다	t o̞ ɾ a̠ o̞ d a̠
돌연	t o̞ ɾ j ʌ̹ n
돌연변이	t o̞ ɾ j ʌ̹ n b j ʌ̹ n i
돌잡이	t o̞ ʎ d͡ʑ a̠ b i
돌팔이	t o̞ː ɭ pʰ a̠ ɾ i
돌하르방	t o̞ː ɾ ɦ a̠ ɾ ɯ b a̠ ŋ
돕다	t o̞ː p̚ t͈ a̠
돗자리	t o̞ t̚ t͡ɕ͈ a̠ ɾ i
동갑	t o̞ ŋ ɡ a̠ p̚
동거	t o̞ ŋ ɡ ʌ̹
동거인	t o̞ ŋ ɡ ʌ̹ i n
동경	t o̞ ŋ ɡ j ʌ̹ ŋ
동공	t o̞ː ŋ ɡ o̞ ŋ
동그라미	t o̞ ŋ ɡ ɯ ɾ a̠ m i
동글	t o̞ ŋ ɡ ɯ ɭ
동글다	t o̞ ŋ ɡ ɯ ɭ d a̠
동기	t o̞ ŋ ɡ i
동남아시아	t o̞ ŋ n a̠ m a̠ ɕʰ i a̠
동네	t o̞ː ŋ n e̞
동력	t o̞ː ŋ ɲ j ʌ̹ k̚
동료	t o̞ ŋ ɲ j o
동무	t o̞ ŋ m u
동문서답	t o̞ ŋ m u n sʰ ʌ̹ d a̠ p̚
동물	t o̞ː ŋ m u ɭ
동물학	t o̞ː ŋ m u ɾ ɦ a̠ k̚
동반자	t o̞ ŋ b a̠ ɲ d͡ʑ a̠
동부	t o̞ ŋ b u
동사리	t o̞ ŋ sʰ a̠ ɾ i
동산	t o̞ ŋ sʰ a̠ n
동성	t o̞ ŋ sʰ ʌ̹ ŋ
동시	t o̞ ŋ ɕʰ i
동아리	t o̞ ŋ a̠ ɾ i
동안	t o̞ ŋ a̠ n
동양	t o̞ ŋ j a̠ ŋ
동업자	t o̞ ŋ ʌ̹ p̚ t͡ɕ͈ a̠
동의	t o̞ ŋ ɰ i
동의어	t o̞ ŋ ɰ i ʌ̹
동일하다	t o̞ ŋ i ɾ ɦ a̠ d a̠
동작	t o̞ː ŋ d͡ʑ a̠ k̚
동전	t o̞ ŋ d͡ʑ ʌ̹ n
동정	t o̞ ŋ d͡ʑ ʌ̹ ŋ
동지	t o̞ ŋ d͡ʑ i
동쪽	t o̞ ŋ t͡ɕ͈ o̞ k̚
동창	t o̞ ŋ t͡ɕʰ a̠ ŋ
동포	t o̞ ŋ pʰ o̞
동호회	t o̞ ŋ β o̞ β w e̞
동화	t o̞ː ŋ β w a̠
돼지	t w ɛː d͡ʑ i
돼지꿈	t w ɛː d͡ʑ i k͈ u m
되게	t w e̞ː ɡ e̞
되놈	t w e̞ n o̞ m
되다	t w e̞ d a̠
되찾다	t w e̞ t͡ɕʰ a̠ t̚ t͈ a̠
되풀이	t w e̞ pʰ u ɾ i
되풀이하다	t w e̞ pʰ u ɾ i ɦ a̠ d a̠
된디읃	t w e̞ n d i ɯ t̚
된비읍	t w e̞ n b i ɯ p̚
된장	t w e̞ː ɲ d͡ʑ a̠ ŋ
된장녀	t w e̞ː ɲ d͡ʑ a̠ ŋ ɲ j ʌ̹
된장풀	t w e̞ ɲ d͡ʑ a̠ ŋ pʰ u ɭ
됨됨	t w e̞ m d w e̞ m
됨됨이	t w e̞ m d w e̞ m i
두건	t u ɡ ʌ̹ n
두견	t u ɡ j ʌ̹ n
두근거리다	t u ɡ ɯ n ɡ ʌ̹ ɾ i d a̠
두근두근	t u ɡ ɯ n d u ɡ ɯ n
두꺼비	t u k͈ ʌ̹ b i
두뇌	t u n w e̞
두더지	t u d ʌ̹ d͡ʑ i
두드러기	t u d ɯ ɾ ʌ̹ ɡ i
두드러지다	t u d ɯ ɾ ʌ̹ d͡ʑ i d a̠
두드리다	t u d ɯ ɾ i d a̠
두려움	t u ɾ j ʌ̹ u m
두렵다	t u ɾ j ʌ̹ p̚ t͈ a̠
두루미	t u ɾ u m i
두르다	t u ɾ ɯ d a̠
두마	t u m a̠
두만강	t u m a̠ n ɡ a̠ ŋ
두만강자그사니	t u m a̠ n ɡ a̠ ŋ d͡ʑ a̠ ɡ ɯ sʰ a̠ n i
두목	t u m o̞ k̚
두바이	t u b a̠ i
두반장	t u b a̠ ɲ d͡ʑ a̠ ŋ
두발	t u b a̠ ɭ
두벌식	t u b ʌ̹ ɭ ɕʰ i k̚
두부	t u b u
두상	t u sʰ a̠ ŋ
두서너	t u sʰ ʌ̹ n ʌ̹
두서넛	t u sʰ ʌ̹ n ʌ̹ t̚
두세	t u sʰ e̞
두어	t u ʌ̹
두연	t u j ʌ̹ n
두음	t u ɯ m
두음법칙	t u ɯ m b ʌ̹ p̚ t͡ɕʰ i k̚
두절	t u d͡ʑ ʌ̹ ɭ
두줄망둑	t uː d͡ʑ u ɭ m a̠ ŋ d u k̚
두통	t u tʰ o̞ ŋ
둔치다	t u ɲ t͡ɕʰ i d a̠
둘러보다	t u ɭ ɭ ʌ̹ b o̞ d a̠
둘러싸다	t u ɭ ɭ ʌ̹ s͈ a̠ d a̠
둘치	t u ʎ t͡ɕʰ i
둥지	t u ŋ d͡ʑ i
둥치	t u ŋ t͡ɕʰ i
뒤늦다	t ɥ iː n ɯ t̚ t͈ a̠
뒤지다	t ɥ i d͡ʑ i d a̠
뒤집다	t ɥ i d͡ʑ i p̚ t͈ a̠
뒤쫓다	t ɥ iː t͡ɕ͈ o̞ t̚ t͈ a̠
뒷간	t ɥ iː t̚ k͈ a̠ n
뒷다리	t ɥ iː t̚ t͈ a̠ ɾ i
뒷마당	t ɥ iː n m a̠ d a̠ ŋ
뒷면	t ɥ iː n m j ʌ̹ n
뒷모습	t ɥ iː n m o̞ sʰ ɯ p̚
뒹굴뒹굴	t ɥ i ŋ ɡ u ɭ d ɥ i ŋ ɡ u ɭ
듀엣	t j u e̞ t̚
듀오	t j u o̞
드라이브하다	t ɯ ɾ a̠ i b ɯ ɦ a̠ d a̠
드럼	t ɯ ɾ ʌ̹ m
드르렁	t ɯ ɾ ɯ ɾ ʌ̹ ŋ
드립	t ɯ ɾ i p̚
드물다	t ɯ m u ɭ d a̠
득남	t ɯ ŋ n a̠ m
득녀	t ɯ ŋ ɲ j ʌ̹
득점	t ɯ k̚ t͡ɕ͈ ʌ̹ m
듣다	t ɯ t̚ t͈ a̠
들기름	t ɯ ɭ ɡ i ɾ ɯ m
들꿩	t ɯ ɭ k͈ w ʌ̹ ŋ
들끓다	t ɯ ɭ k͈ ɯ ɭ tʰ a̠
들다	t ɯ ɭ d a̠
들러리	t ɯ ɭ ɭ ʌ̹ ɾ i
들르다	t ɯ ɭ ɭ ɯ d a̠
들어가다	t ɯ ɾ ʌ̹ ɡ a̠ d a̠
들어서다	t ɯ ɾ ʌ̹ sʰ ʌ̹ d a̠
들이다	t ɯ ɾ i d a̠
들쭉날쭉하다	t ɯ ʎ t͡ɕ͈ u ŋ n a̠ ʎ t͡ɕ͈ u kʰ a̠ d a̠
듯이	t ɯ ɕʰ i
등급	t ɯ ŋ ɡ ɯ p̚
등등	t ɯː ŋ d ɯ ŋ
등받이	t ɯ ŋ b a̠ d i
등불	t ɯ ŋ p͈ u ɭ
등산	t ɯ ŋ sʰ a̠ n
등심	t ɯ ŋ ɕʰ i m
등유	t ɯ ŋ j u
등자	t ɯ ŋ d͡ʑ a̠
등장	t ɯ ŋ d͡ʑ a̠ ŋ
등장인물	t ɯ ŋ d͡ʑ a̠ ŋ i n m u ɭ
등줄숭어	t ɯ ŋ t͡ɕ͈ u ɭ sʰ u ŋ ʌ̹
디귿	t i ɡ ɯ t̚
디디다	t i d i d a̠
디바이스	t i b a̠ i s͈ ɯ
디스켓	t i sʰ ɯ kʰ e̞ t̚
디스코	t i sʰ ɯ kʰ o̞
디스크	t i sʰ ɯ k x ɯ
디스플레이	t i sʰ ɯ pʰ ɯ ɭ ɭ e̞ i
디엔에이	t i e̞ n e̞ i
디자인	t i d͡ʑ a̠ i n
디저트	t i d͡ʑ ʌ̹ tʰ ɯ
디지털	t i d͡ʑ i tʰ ʌ̹ ɭ
딩딩	t i ŋ d i ŋ
따님	t͈ a̠ n i m
따다	t͈ a̠ d a̠
따뜻	t͈ a̠ t͈ ɯ t̚
따뜻하다	t͈ a̠ t͈ ɯ tʰ a̠ d a̠
따라가다	t͈ a̠ ɾ a̠ ɡ a̠ d a̠
따라서	t͈ a̠ ɾ a̠ sʰ ʌ̹
따라하다	t͈ a̠ ɾ a̠ ɦ a̠ d a̠
따로	t͈ a̠ ɾ o̞
따르다	t͈ a̠ ɾ ɯ d a̠
따르릉	t͈ a̠ ɾ ɯ ɾ ɯ ŋ
따름	t͈ a̠ ɾ ɯ m
따오기	t͈ a̠ o̞ ɡ i
따위	t͈ a̠ ɥ i
따이	t͈ a̠ i
따지다	t͈ a̠ d͡ʑ i d a̠
딱딱하다	t͈ a̠ k̚ t͈ a̠ kʰ a̠ d a̠
딱지	t͈ a̠ k̚ t͡ɕ͈ i
딸기	t͈ a̠ː ɭ ɡ i
딸꾹질	t͈ a̠ ɭ k͈ u k̚ t͡ɕ͈ i ɭ
땅크병	t͈ a̠ ŋ k x ɯ b j ʌ̹ ŋ
땋다	t͈ a̠ː tʰ a̠
땜납	t͈ ɛː m n a̠ p̚
떠다니다	t͈ ʌ̹ d a̠ n i d a̠
떠돌다	t͈ ʌ̹ d o̞ ɭ d a̠
떠들다	t͈ ɘː d ɯ ɭ d a̠
떠들썩하다	t͈ ʌ̹ d ɯ ɭ s͈ ʌ̹ kʰ a̠ d a̠
떠오르다	t͈ ʌ̹ o̞ ɾ ɯ d a̠
떡국	t͈ ʌ̹ k̚ k͈ u k̚
떡볶이	t͈ ʌ̹ k̚ p͈ o̞ k͈ i
떨다	t͈ ɘː ɭ d a̠
떨리다	t͈ ʌ̹ ʎ ʎ i d a̠
떨어뜨리다	t͈ ʌ̹ ɾ ʌ̹ t͈ ɯ ɾ i d a̠
떨어지다	t͈ ʌ̹ ɾ ʌ̹ d͡ʑ i d a̠
떨치다	t͈ ʌ̹ ʎ t͡ɕʰ i d a̠
떳떳하다	t͈ ʌ̹ t̚ t͈ ʌ̹ tʰ a̠ d a̠
떼지어	t͈ e̞ d͡ʑ i ʌ̹
또는	t͈ o̞ n ɯ n
또다시	t͈ o̞ d a̠ ɕʰ i
똑같다	t͈ o̞ k̚ k͈ a̠ t̚ t͈ a̠
똑같이	t͈ o̞ k̚ k͈ a̠ t͡ɕʰ i
똑똑	t͈ o̞ k̚ t͈ o̞ k̚
똑바로	t͈ o̞ k̚ p͈ a̠ ɾ o̞
똥침	t͈ o̞ ŋ t͡ɕʰ i m
똥파리	t͈ o̞ ŋ pʰ a̠ ɾ i
뙤약볕	t͈ w e̞ j a̠ k̚ p͈ j ʌ̹ t̚
뚜렷하다	t͈ u ɾ j ʌ̹ tʰ a̠ d a̠
뚱뚱하다	t͈ u ŋ t͈ u ŋ ɦ a̠ d a̠
뛰다	t͈ ɥ i d a̠
뛰어가다	t͈ ɥ i ʌ̹ ɡ a̠ d a̠
뛰어나다	t͈ ɥ i ʌ̹ n a̠ d a̠
뛰어다니다	t͈ ɥ i ʌ̹ d a̠ n i d a̠
뛰어들다	t͈ ɥ i ʌ̹ d ɯ ɭ d a̠
뜨겁다	t͈ ɯ ɡ ʌ̹ p̚ t͈ a̠
뜨다	t͈ ɯ d a̠
뜯다	t͈ ɯ t̚ t͈ a̠
뜸하다	t͈ ɯ m ɦ a̠ d a̠
뜻밖에	t͈ ɯ t̚ p͈ a̠ k͈ e̞
뜻하다	t͈ ɯ tʰ a̠ d a̠
띄어쓰기	t͈ i ʌ̹ s͈ ɯ ɡ i
라고	ɾ a̠ ɡ o̞
라고스	ɾ a̠ ɡ o̞ sʰ ɯ
라니	ɾ a̠ n i
라돈	ɾ a̠ d o̞ n
라듐	ɾ a̠ d j u m
라디에이터	ɾ a̠ d i e̞ i tʰ ʌ̹
라디오	ɾ a̠ d i o̞
라며	ɾ a̠ m j ʌ̹
라면	ɾ a̠ m j ʌ̹ n
라바트	ɾ a̠ b a̠ tʰ ɯ
라벨	ɾ a̠ b e̞ ɭ
라볶이	ɾ a̠ b o̞ k͈ i
라선	ɾ a̠ sʰ ʌ̹ n
라오스	ɾ a̠ o̞ sʰ ɯ
라우터	ɾ a̠ u tʰ ʌ̹
라운지	ɾ a̠ u ɲ d͡ʑ i
라이벌	ɾ a̠ i b ʌ̹ ɭ
라이베리아	ɾ a̠ i b e̞ ɾ i a̠
라이선스	ɾ a̠ i sʰ ʌ̹ n sʰ ɯ
라이터	ɾ a̠ i tʰ ʌ̹
라이플	ɾ a̠ i pʰ ɯ ɭ
라인	ɾ a̠ i n
라임	ɾ a̠ i m
라트비아	ɾ a̠ tʰ ɯ b i a̠
라트비아어	ɾ a̠ tʰ ɯ b i a̠ ʌ̹
라틴	ɾ a̠ tʰ i n
라파스	ɾ a̠ pʰ a̠ sʰ ɯ
락타	ɾ a̠ k̚ tʰ a̠
랭면	ɾ ɛː ŋ m j ʌ̹ n
량강도	ɾ j a̠ ŋ ɡ a̠ ŋ d o̞
러시아어	ɾ ʌ̹ ɕʰ i a̠ ʌ̹
러시아인	ɾ ʌ̹ ɕʰ i a̠ i n
레몬	ɾ e̞ m o̞ n
레바논	ɾ e̞ b a̠ n o̞ n
레소토	ɾ e̞ sʰ o̞ tʰ o̞
레스토랑	ɾ e̞ sʰ ɯ tʰ o̞ ɾ a̠ ŋ
레슬링	ɾ e̞ sʰ ɯ ʎ ʎ i ŋ
레위니옹	ɾ e̞ ɥ i n i o̞ ŋ
레이스	ɾ e̞ i sʰ ɯ
레이저	ɾ e̞ i d͡ʑ ʌ̹
레즈비언	ɾ e̞ d͡ʑ ɯ b i ʌ̹ n
레퍼토리	ɾ e̞ pʰ ʌ̹ tʰ o̞ ɾ i
렌즈	ɾ e̞ ɲ d͡ʑ ɯ
려관	ɾ j ʌ̹ ɡ w a̠ n
련락	ɾ j ʌ̹ ɭ ɭ a̠ k̚
련습	ɾ j ɘː n sʰ ɯ p̚
련합	ɾ j ʌ̹ n ɦ a̠ p̚
령도자	ɾ j ʌ̹ ŋ d o̞ d͡ʑ a̠
로고	ɾ o̞ ɡ o̞
로국	ɾ o̞ ɡ u k̚
로그	ɾ o̞ ɡ ɯ
로그인	ɾ o̞ ɡ ɯ i n
로또	ɾ o̞ t͈ o̞
로렌슘	ɾ o̞ ɾ e̞ n ɕʰ u m
로마	ɾ o̞ m a̠
로망	ɾ o̞ m a̠ ŋ
로므니아	ɾ o̞ m ɯ n i a̠
로보트	ɾ o̞ b o̞ tʰ ɯ
로사리오	ɾ o̞ sʰ a̠ ɾ i o̞
로씨야	ɾ o̞ ɕ͈ i j a̠
로어	ɾ o̞ ʌ̹
로켓	ɾ o̞ kʰ e̞ t̚
로토	ɾ o̞ tʰ o̞
로획	ɾ o̞ β w e̞ k̚
롤러코스터	ɾ o̞ ɭ ɭ ʌ̹ kʰ o̞ sʰ ɯ tʰ ʌ̹
뢴트겐	ɾ w e̞ n tʰ ɯ ɡ e̞ n
료법	ɾ j o b ʌ̹ p̚
루마니아	ɾ u m a̠ n i a̠
루마니아어	ɾ u m a̠ n i a̠ ʌ̹
루머	ɾ u m ʌ̹
루블	ɾ u b ɯ ɭ
루사카	ɾ u sʰ a̠ kʰ a̠
루저	ɾ u d͡ʑ ʌ̹
루카	ɾ u kʰ a̠
루테늄	ɾ u tʰ e̞ ɲ j u m
루테튬	ɾ u tʰ e̞ tʰ j u m
루프	ɾ u pʰ ɯ
룩셈부르크	ɾ u k s͈ e̞ m b u ɾ ɯ k x ɯ
룰렛	ɾ u ɭ ɭ e̞ t̚
류월	ɾ j u w ʌ̹ ɭ
륙지	ɾ j u k̚ t͡ɕ͈ i
르네상스	ɾ ɯ n e̞ sʰ a̠ ŋ sʰ ɯ
르완다	ɾ ɯ w a̠ n d a̠
리가	ɾ i ɡ a̠
리그	ɾ i ɡ ɯ
리눅스	ɾ i n u k s͈ ɯ
리듬	ɾ i d ɯ m
리모컨	ɾ i m o̞ kʰ ʌ̹ n
리무진	ɾ i m u d͡ʑ i n
리믹스	ɾ i m i k s͈ ɯ
리버모륨	ɾ i b ʌ̹ m o̞ ɾ j u m
리비아	ɾ i b i a̠
리셉션	ɾ i s͈ e̞ p ɕ͈ ʌ̹ n
리스본	ɾ i sʰ ɯ b o̞ n
리야드	ɾ i j a̠ d ɯ
리어카	ɾ i ʌ̹ kʰ a̠
리얼	ɾ i ʌ̹ ɭ
리옹	ɾ i o̞ ŋ
리왕조	ɾ i w a̠ ŋ d͡ʑ o̞
리우데자네이루	ɾ i u d e̞ d͡ʑ a̠ n e̞ i ɾ u
리원	ɾ i w ʌ̹ n
리터	ɾ i tʰ ʌ̹
리투아니아	ɾ i tʰ u a̠ n i a̠
리튬	ɾ i tʰ j u m
리포트	ɾ i pʰ o̞ tʰ ɯ
리히텐슈타인	ɾ i ʝ i tʰ e̞ n ɕʰ u tʰ a̠ i n
린스	ɾ i n s͈ ɯ
릴리스	ɾ i ʎ ʎ i sʰ ɯ
립스틱	ɾ i p s͈ ɯ tʰ i k̚
링귀네	ɾ i ŋ ɡ ɥ i n e̞
링크	ɾ i ŋ k x ɯ
마구	m a̠ ɡ u
마구간	m a̠ː ɡ u k͈ a̠ n
마귀	m a̠ ɡ ɥ i
마나과	m a̠ n a̠ ɡ w a̠
마나마	m a̠ n a̠ m a̠
마녀	m a̠ ɲ j ʌ̹
마누라	m a̠ n u ɾ a̠
마늘	m a̠ n ɯ ɭ
마니	m a̠ n i
마닐라	m a̠ n i ɭ ɭ a̠
마다	m a̠ d a̠
마다가스카르	m a̠ d a̠ ɡ a̠ sʰ ɯ kʰ a̠ ɾ ɯ
마달	m a̠ d a̠ ɭ
마더	m a̠ d ʌ̹
마드리드	m a̠ d ɯ ɾ i d ɯ
마땅하다	m a̠ t͈ a̠ ŋ ɦ a̠ d a̠
마라톤	m a̠ ɾ a̠ tʰ o̞ n
마력	m a̠ː ɾ j ʌ̹ k̚
마련	m a̠ ɾ j ʌ̹ n
마련하다	m a̠ ɾ j ʌ̹ n ɦ a̠ d a̠
마루	m a̠ ɾ u
마르멜로	m a̠ ɾ ɯ m e̞ ɭ ɭ o̞
마르스	m a̠ ɾ ɯ sʰ ɯ
마르코	m a̠ ɾ ɯ kʰ o̞
마르크스주의	m a̠ ɾ ɯ k x ɯ sʰ ɯ d͡ʑ u ɰ i
마르티니크	m a̠ ɾ ɯ tʰ i n i k x ɯ
마름모	m a̠ ɾ ɯ m m o̞
마리	m a̠ ɾ i
마마	m a̠ː m a̠
마무르다	m a̠ m u ɾ ɯ d a̠
마무리	m a̠ m u ɾ i
마법	m a̠ b ʌ̹ p̚
마법사	m a̠ b ʌ̹ p s͈ a̠
마사지	m a̠ sʰ a̠ d͡ʑ i
마소	m a̠ sʰ o̞
마술	m a̠ sʰ u ɭ
마술사	m a̠ sʰ u ɭ s͈ a̠
마스다	m a̠ sʰ ɯ d a̠
마스크	m a̠ sʰ ɯ k x ɯ
마스터베이션	m a̠ sʰ ɯ tʰ ʌ̹ b e̞ i ɕʰ ʌ̹ n
마시다	m a̠ ɕʰ i d a̠
마약	m a̠ j a̠ k̚
마우스	m a̠ u s͈ ɯ
마유	m a̠ː j u
마을	m a̠ ɯ ɭ
마을버스	m a̠ ɯ ɭ b ʌ̹ sʰ ɯ
마음	m a̠ ɯ m
마음속	m a̠ ɯ m s͈ o̞ k̚
마음씨	m a̠ ɯ m ɕ͈ i
마이너스	m a̠ i n ʌ̹ s͈ ɯ
마이웨이	m a̠ i w e̞ i
마이크	m a̠ i k x ɯ
마이크로소프트	m a̠ i k x ɯ ɾ o̞ sʰ o̞ pʰ ɯ tʰ ɯ
마이크로파	m a̠ i k x ɯ ɾ o̞ pʰ a̠
마일	m a̠ i ɭ
마작	m a̠ː d͡ʑ a̠ k̚
마주	m a̠ d͡ʑ u
마중	m a̠ d͡ʑ u ŋ
마지막	m a̠ d͡ʑ i m a̠ k̚
마차	m a̠ː t͡ɕʰ a̠
마찬가지	m a̠ t͡ɕʰ a̠ n ɡ a̠ d͡ʑ i
마찰	m a̠ t͡ɕʰ a̠ ɭ
마천루	m a̠ t͡ɕʰ ʌ̹ ɭ ɭ u
마취	m a̠ t͡ɕʰ ɥ i
마침	m a̠ t͡ɕʰ i m
마카로니	m a̠ kʰ a̠ ɾ o̞ n i
마케도니아	m a̠ kʰ e̞ d o̞ n i a̠
마케팅	m a̠ kʰ e̞ tʰ i ŋ
마켓	m a̠ kʰ e̞ t̚
마트	m a̠ tʰ ɯ
마트료시카	m a̠ tʰ ɯ ɾ j o ɕʰ i kʰ a̠
마팔디네	m a̠ pʰ a̠ ɭ d i n e̞
마푸토	m a̠ pʰ u tʰ o̞
마피아	m a̠ pʰ i a̠
마흐디	m a̠ ɣ ɯ d i
마흔	m a̠ ɣ ɯ n
막다	m a̠ k̚ t͈ a̠
